Nome: SANTA MARIA
Codigo Estacao: A803
Latitude: -29.72499999
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2001-11-25
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-11-25;null;null;null;null;null;null;
2001-11-26;null;null;null;null;null;null;
2001-11-27;null;26,6;23;21;82,2;2;
2001-11-28;0;26,2;21;15;61,3;2,8;
2001-11-29;0;26,1;20,1;13,7;65,3;2,6;
2001-11-30;0;21,6;18;17,3;77,3;2;
2001-12-01;0;25,9;19,2;14,4;73,5;1,7;
2001-12-02;0;28,1;21;13,6;66,2;1;
2001-12-03;0;24,5;20,8;17,1;71,8;2,9;
2001-12-04;0;21,3;19,4;18,5;87,5;2,1;
2001-12-05;0;25,8;20,9;18;85,3;1,6;
2001-12-06;0;24,8;20,8;17,2;83,1;1,9;
2001-12-07;0;30,1;22,8;15,7;72,2;,9;
2001-12-08;0;25,5;20,9;17,3;73,6;1,7;
2001-12-09;0;24,6;18,4;13,3;69;1,9;
2001-12-10;0;26,6;19,3;12,4;75,8;2,3;
2001-12-11;0;30,6;23,3;18,1;73;1,9;
2001-12-12;0;32,4;25,7;19,7;68,3;1,6;
2001-12-13;0;30,4;25,5;22,3;73,9;1,7;
2001-12-14;0;30,6;24,8;21;71,6;2,8;
2001-12-15;0;27,8;22,6;18,7;65,4;2,9;
2001-12-16;0;28,7;22,1;17,4;66,3;1,2;
2001-12-17;0;29,3;22,9;15,2;60,9;1,4;
2001-12-18;0;30;23;16,8;62,9;1,3;
2001-12-19;0;33,8;23,9;14,6;59,8;1,1;
2001-12-20;0;36,2;27;20,5;64,1;1,2;
2001-12-21;0;35,3;24,3;20;78,8;2,4;
2001-12-22;0;25,1;20,6;17,6;84,2;2;
2001-12-23;0;25,6;20,8;15,8;69,5;1,7;
2001-12-24;0;26,5;21,1;15,4;67,3;2,7;
2001-12-25;0;28,9;22,6;16,7;63,8;2,9;
2001-12-26;0;30,8;24;16,9;63;2,4;
2001-12-27;0;33,2;25,6;17,6;62,6;1,7;
2001-12-28;0;33;26,3;21;66,4;1,9;
2001-12-29;0;31,2;25,6;21,1;72;1,7;
2001-12-30;0;31,9;26,3;21,4;69,5;2,5;
2001-12-31;0;28,3;24,1;20,5;76,5;2,7;
2002-01-01;0;31,2;25,8;21,3;62,8;2,1;
2002-01-02;0;30,9;25,2;21,3;65,6;1,5;
2002-01-03;0;30,9;24,1;17,3;66,5;1,3;
2002-01-04;0;29,7;24,1;18,3;65,7;1,4;
2002-01-05;0;26,1;23,1;20,1;78,6;1,7;
2002-01-06;0;29,5;25;21,8;62,1;2,4;
2002-01-07;0;28,9;23,3;18;59,7;1,8;
2002-01-08;0;31,2;23,8;16,2;64,6;,9;
2002-01-09;0;31,3;25,4;20,2;69,3;3,2;
2002-01-10;0;31,5;25,8;21;67,4;3,6;
2002-01-11;0;29,4;25,1;21,7;73,7;1,6;
2002-01-12;0;33,8;27,5;22;55;2,1;
2002-01-13;0;33;27,2;20,4;59,1;1,9;
2002-01-14;0;31,2;24,8;20;73,1;2,9;
2002-01-15;0;27,3;20,8;15,2;57;3,4;
2002-01-16;0;27,4;20,5;14,2;62,5;2,1;
2002-01-17;0;27,5;21,3;14,3;61,4;2;
2002-01-18;0;28,3;21,9;14,3;58,3;2,3;
2002-01-19;0;32,7;24,1;16,3;59,9;2,4;
2002-01-20;0;36,3;27,6;19;54,6;1,4;
2002-01-21;0;33,3;27,3;23,7;61,9;1,8;
2002-01-22;1,6;34;26,4;20,1;74,5;1,7;
2002-01-23;0;34;26;21,1;76,5;1,3;
2002-01-24;,8;29,1;23,9;19,8;81,5;1,5;
2002-01-25;0;33,1;25,5;20,6;74,4;1,2;
2002-01-26;0;27,2;23,5;20,5;80,6;1,9;
2002-01-27;0;27,6;23,2;20,2;82,2;1,6;
2002-01-28;0;31,4;26,2;21,3;66,5;1,4;
2002-01-29;0;34,3;26,3;18,8;64,3;1,2;
2002-01-30;0;35;null;20,6;68,9;1,4;
2002-01-31;null;29,7;25,1;20,7;73,1;3,4;
2002-02-01;,2;28,4;24,6;20,3;60,7;1,9;
2002-02-02;0;27,1;20,4;13,7;63,4;1,5;
2002-02-03;0;26,4;20,7;14,4;68,4;1,7;
2002-02-04;0;30,3;22,1;14,6;67,7;1,8;
2002-02-05;0;28,8;23,1;17,5;75;,9;
2002-02-06;0;29;21,7;20;80,8;1,7;
2002-02-07;0;28,1;22,2;18,3;77,6;1,8;
2002-02-08;0;28,4;21,7;17,6;81;1,3;
2002-02-09;,4;29;21,2;16,9;79,7;1,3;
2002-02-10;,2;29;22,7;17,1;74,5;1,5;
2002-02-11;0;30,7;23,8;16,9;72,5;,9;
2002-02-12;0;27,7;23,3;21,2;84,5;1,2;
2002-02-13;0;30,6;24,3;19,7;79;1,3;
2002-02-14;0;31,8;25,2;19,1;71,9;1,2;
2002-02-15;0;31;24,4;19,8;77,7;1,3;
2002-02-16;0;28,7;23,3;19,1;73,5;2,5;
2002-02-17;0;26,9;21,5;16,3;72,1;2,8;
2002-02-18;0;29,4;22,5;17,3;73,6;2,6;
2002-02-19;0;28,3;22;18,8;79,1;2,2;
2002-02-20;0;28,6;23,2;20,1;82,7;1,5;
2002-02-21;0;29,8;23,8;19,1;83;1,2;
2002-02-22;0;27,9;23,3;19,9;75,2;1,6;
2002-02-23;0;30,6;23;16,5;69,3;1,3;
2002-02-24;0;25,4;19,8;14,1;66,7;1,9;
2002-02-25;0;29,4;20,5;13,2;69,1;1,4;
2002-02-26;0;34,3;23,6;14,2;65,6;1;
2002-02-27;0;35,2;28;20,9;59,2;2,2;
2002-02-28;0;34,2;29,3;24,8;57;3,2;
2002-03-01;0;30,6;24,1;23,1;81,8;1,8;
2002-03-02;0;24,7;20,9;18,1;78,2;2,6;
2002-03-03;0;32,9;24,4;18,4;78,2;1,6;
2002-03-04;0;35,3;27,3;22,2;75,1;2,4;
2002-03-05;0;25,3;23;21,9;90,8;1;
2002-03-06;0;29;23,8;21,7;88,3;1,7;
2002-03-07;0;31,4;25,3;22,3;82,9;1,1;
2002-03-08;0;34,7;28,7;23,7;67;1,8;
2002-03-09;0;36,3;29,4;23,3;65,6;1,5;
2002-03-10;0;38;30,4;24,2;63,2;1,5;
