Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Operante
Data Inicial: 2001-11-21
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-11-21;null;null;null;null;null;null;
2001-11-22;null;null;null;null;65,8;null;
2001-11-23;0;33,5;25,8;19,6;73,8;2,9;
2001-11-24;null;null;null;null;null;null;
2001-11-25;null;null;null;null;null;null;
2001-11-26;null;null;null;null;null;null;
2001-11-27;null;null;null;null;null;null;
2001-11-28;null;null;null;null;null;null;
2001-11-29;null;23,8;17,6;11,3;68,3;3,2;
2001-11-30;19,4;18,3;14,6;12;85;2,4;
2001-12-01;1;24,8;17,7;12,2;75,2;1,9;
2001-12-02;0;25,8;20,5;15,6;60,4;1,4;
2001-12-03;0;20,1;17,1;14,6;86,4;3,4;
2001-12-04;,6;24,1;18,5;15,1;86,5;2,5;
2001-12-05;1,2;24,8;19,4;16,7;87,7;2,7;
2001-12-06;,6;26,2;19,8;15,9;81;2,9;
2001-12-07;0;28,9;21,5;15,9;72,1;1,4;
2001-12-08;0;24,6;17,4;13,6;67,7;3;
2001-12-09;0;22,2;14,8;7,6;58,9;2,7;
2001-12-10;0;25,8;18;10,3;66,9;2,9;
2001-12-11;0;27,8;20,9;14,1;71,1;2,8;
2001-12-12;0;30,9;23,3;17,2;70,6;2,1;
2001-12-13;0;28,9;23,5;19,9;79,7;2,9;
2001-12-14;2,8;27,6;22,5;18,1;76,2;4,4;
2001-12-15;0;25,7;20,2;15,3;71,8;4,4;
2001-12-16;0;26;19,4;13,9;74,3;2,5;
2001-12-17;0;28,7;22,1;14,4;59,8;1,6;
2001-12-18;0;29,2;21,7;15,5;61,7;2,8;
2001-12-19;0;32,4;23,6;16,8;65,8;1,6;
2001-12-20;3,8;31,6;25,2;21,7;70,5;1,6;
2001-12-21;12,8;22,1;19,2;18,8;92,1;2,9;
2001-12-22;22;24,9;18,9;14,6;75,3;3,5;
2001-12-23;0;25,9;19,4;13,7;62,9;2,5;
2001-12-24;0;27,4;21;15;58,9;2,8;
2001-12-25;0;28,7;21;13,1;67,2;2,6;
2001-12-26;0;30;22,5;15,1;64,6;2;
2001-12-27;0;31,4;24,5;17,2;59,5;2;
2001-12-28;0;32,1;25,5;19,9;51,4;3,2;
2001-12-29;0;30,8;24,1;18,1;70,4;2,9;
2001-12-30;0;32,6;25;19,3;70,3;2,4;
2001-12-31;21,6;28,9;23,5;18,5;75,1;2,2;
2002-01-01;,2;29,4;22,8;16,9;71,4;2;
2002-01-02;0;28,7;23,3;18,3;67,3;2,4;
2002-01-03;0;28,7;22,9;17,6;67,3;2,2;
2002-01-04;0;27,8;22,3;17,2;68,6;3;
2002-01-05;0;26,4;20,6;18,5;84,6;2,8;
2002-01-06;2,8;26;20,2;16,6;82,3;2,1;
2002-01-07;,8;27,8;20,7;13,7;63,4;1,9;
