Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.29
Situacao: Pane
Data Inicial: 2006-09-27
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-27;0;22,6;18,9;17,4;77,8;4,6;
2006-09-28;23,4;23,5;19,5;17;76;3,3;
2006-09-29;0;22,7;15,6;9,9;71,7;4,8;
2006-09-30;0;26,6;18,9;12;71,6;4,6;
2006-10-01;0;29,7;22,9;16,9;74,3;4,5;
2006-10-02;0;29,5;23;17,2;72,4;4,3;
2006-10-03;0;28,8;23,7;18,7;70,9;3,3;
2006-10-04;0;27,8;22,9;19,4;78,9;5,2;
2006-10-05;38,4;21,9;17,7;14,4;73,8;4,2;
2006-10-06;0;22,9;15,8;9,6;66,6;4,2;
2006-10-07;0;24,6;17,7;11,4;69,3;2,3;
2006-10-08;0;25;18;11,9;69;3,4;
2006-10-09;0;28,7;20,3;12,4;68,9;3,3;
2006-10-10;0;32,8;23,8;19,6;78,7;3,7;
2006-10-11;40,2;27;21,9;19,1;83,5;3,1;
2006-10-12;0;27,8;22;17;80,2;3,9;
2006-10-13;0;30,4;23,9;18;74,9;5,1;
2006-10-14;0;33,9;23,7;20,3;80,1;5,4;
2006-10-15;13,4;24,6;20,4;18,2;79;3,8;
2006-10-16;,2;24,2;17,3;10,6;63,6;3,9;
2006-10-17;0;27;19;12,1;70,4;4,5;
2006-10-18;0;26,9;21;15,4;66,6;4,6;
2006-10-19;0;25,5;19,7;14,1;70,5;4,3;
2006-10-20;0;26,5;19,3;12,1;67,8;4,7;
2006-10-21;0;28,4;20,4;12,6;60,9;2,8;
2006-10-22;0;30,4;22,6;12,7;51;3;
2006-10-23;0;31,8;24,3;16,7;51,8;4,4;
2006-10-24;0;33,2;25,9;19;63,3;4;
2006-10-25;0;35,2;26,7;19;62,1;2,8;
2006-10-26;0;29,5;23,2;17,3;65,5;4,6;
2006-10-27;0;29;21,4;15,5;58,9;6;
2006-10-28;0;26,9;23,7;19,7;59,2;3,9;
