Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Pane
Data Inicial: 2006-11-14
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-14;null;null;null;null;null;null;
2006-11-15;null;null;null;null;null;null;
2006-11-16;null;35,6;27,3;17,8;48,9;1,9;
2006-11-17;0;29,9;23,4;22,7;80,5;1,5;
2006-11-18;42,2;22,7;20,7;20,7;95,5;1,2;
2006-11-19;56;20,6;18,1;16,2;91,7;2,9;
2006-11-20;,6;27,4;19,6;12,8;74,3;2,1;
2006-11-21;3;29;21,5;14,5;75,5;1;
2006-11-22;0;31,6;23,8;16,6;61,4;1,1;
2006-11-23;0;34,8;26,4;17,2;52,4;1,6;
2006-11-24;0;29;22,6;20,6;82,1;1,5;
2006-11-25;31;26,9;22;19,7;90,1;1,2;
2006-11-26;3,8;31,1;25,1;20,6;77,5;2;
2006-11-27;0;30,9;23,4;19;77,3;2,2;
2006-11-28;4;30,3;23,7;19,7;76,8;1,4;
2006-11-29;0;29,1;22,8;17,4;69,9;2,1;
2006-11-30;1,6;31,8;24;16,4;58,1;1,8;
2006-12-01;0;33,2;25,8;19,2;60;1,6;
2006-12-02;0;33,4;26,5;19,4;54,2;,9;
2006-12-03;0;33,3;27,1;20,4;57,2;,8;
2006-12-04;0;36,2;28,6;20,4;55,4;1,3;
2006-12-05;0;36,6;27,4;21,7;64;1,9;
2006-12-06;3,2;31,7;25,4;21,5;73,4;2,3;
2006-12-07;0;30,7;23,5;16,5;63,5;2,2;
2006-12-08;0;34,6;25,7;18,7;58,6;1,5;
2006-12-09;0;33,3;26,6;19,8;62,4;1,3;
2006-12-10;0;34;26,2;17,5;44,8;2,3;
2006-12-11;0;34,9;26,4;18,4;49;1,5;
2006-12-12;0;35,8;27,1;18,6;54,8;1,1;
2006-12-13;0;34,1;27;22,7;59,5;1,2;
2006-12-14;0;36,5;27,4;19,9;63;1,7;
2006-12-15;27,2;34,6;25,9;19,6;76,1;1,4;
2006-12-16;0;37,8;28,5;21,5;69,9;,8;
2006-12-17;0;37,4;29,9;23,1;63,1;1,2;
2006-12-18;0;32,8;26,3;24,6;79;1,3;
2006-12-19;2;28;23,4;21,4;91,1;,9;
2006-12-20;36;30,7;22,9;21,2;87,8;2,3;
2006-12-21;15;30,6;23,5;18,1;79,5;,9;
2006-12-22;0;32,3;26;21,8;79,2;,8;
2006-12-23;0;32,8;null;21,8;84,4;1,2;
2006-12-24;null;21,2;null;19,8;94,8;1,9;
2006-12-25;null;null;null;17,6;null;null;
2006-12-26;null;null;null;null;58,8;null;
2006-12-27;0;31,5;23,9;16;63,1;1,2;
2006-12-28;0;34,4;25,8;17,1;62,6;1,1;
2006-12-29;0;33,8;26,9;20,9;66,3;1,9;
2006-12-30;30;33,4;25,8;19,7;75,3;1,2;
2006-12-31;0;34,9;27,8;22,1;66,4;1,7;
2007-01-01;0;34,2;27,8;22;65,7;1,5;
2007-01-02;0;33,9;27,6;21,6;67,5;1,2;
2007-01-03;0;32,6;25,9;23,4;79,8;1,1;
2007-01-04;0;27,9;24,3;21,9;87,6;1,2;
2007-01-05;8,4;31,7;26,3;21,3;78,5;1,8;
2007-01-06;0;31,5;25,5;21,2;70,3;3,3;
2007-01-07;0;32,1;24,9;18,4;67,5;4,1;
2007-01-08;0;33,5;26,3;20,5;67,5;2,8;
2007-01-09;0;35;27,4;21,6;74,4;1,4;
2007-01-10;9,2;34,7;28,1;22,6;74,8;1,2;
2007-01-11;5,2;29,5;23,4;22,2;92,5;1,8;
2007-01-12;5,8;30,7;24,5;20,4;84,3;1,4;
2007-01-13;,8;33,1;25,9;19;68;1;
2007-01-14;0;30,2;24,2;18,1;74;2,1;
2007-01-15;0;30,4;23,1;16,4;65,5;2,2;
2007-01-16;0;31,6;23,6;17,4;55,1;3;
2007-01-17;,2;29;24,5;21,6;75,6;,9;
2007-01-18;0;31,1;24,6;19,6;75,1;1,4;
2007-01-19;,2;31,5;22;18,3;85,7;1,7;
2007-01-20;43,4;26;20,5;17,6;86;2;
2007-01-21;0;27,8;20,9;15,4;77;3,2;
2007-01-22;0;31,7;23,8;16,6;71,3;1,3;
2007-01-23;0;32,8;25,9;20,1;76,2;1,3;
2007-01-24;0;32,5;26,3;20,8;76;1,1;
2007-01-25;,2;34,2;26,7;21,6;75,1;1,1;
2007-01-26;41,4;28,4;24,6;21,7;86,5;1,3;
2007-01-27;3,2;31,8;25,7;22;84,8;,9;
2007-01-28;0;29,3;24,5;22,2;88,8;1;
2007-01-29;12,8;30,3;24,2;19,9;80;1,3;
2007-01-30;0;32,1;25,5;19,8;75,8;1,5;
2007-01-31;0;32,3;26,1;20,7;75,1;1,7;
2007-02-01;0;32;25,5;19,5;70;1,7;
2007-02-02;0;32,6;24,8;17,9;62,8;1,7;
2007-02-03;0;33,8;25,5;18,1;65,3;1,7;
2007-02-04;0;26,9;22,5;19,9;78,3;1,3;
2007-02-05;25,8;30,5;24,2;18,9;81,8;1,7;
2007-02-06;0;33;26,8;21,8;74,8;2;
2007-02-07;5,4;30,6;24,3;19,1;76,5;1,5;
2007-02-08;0;31,2;24,5;19,2;70,5;3;
2007-02-09;0;32,6;25,6;19;70,8;1,9;
2007-02-10;0;32,9;27;21,3;73,9;2,1;
2007-02-11;0;29,4;24,5;20,4;70,5;3,2;
2007-02-12;0;29,9;22,7;16,2;67,8;2,5;
2007-02-13;0;31,3;23,3;17,6;73,2;1,4;
2007-02-14;,4;32,8;24,5;19,1;73,5;1,4;
2007-02-15;0;32,9;24,3;17,9;74,7;,9;
2007-02-16;,2;34,2;25,8;18,8;70,2;1,4;
