Nome: CANGUCU
Codigo Estacao: A811
Latitude: -31.40333333
Longitude: -52.70083333
Altitude: 446.81
Situacao: Operante
Data Inicial: 2007-01-23
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-01-23;null;null;null;null;null;null;
2007-01-24;null;null;null;null;null;null;
2007-01-25;0;29,2;23,9;20,8;80,8;4,3;
2007-01-26;1,6;27,2;null;20,2;89;4,4;
2007-01-27;null;31,8;null;18,9;69,4;4;
2007-01-28;0;26,4;20,6;18,8;88,4;6,5;
2007-01-29;2,4;20,7;18,4;17,7;95,8;4,8;
2007-01-30;3,4;25,9;20,2;17,4;88,9;4,6;
2007-01-31;,6;26,9;21;16,5;77,4;4;
2007-02-01;0;29,7;22,7;18,1;72,6;4,2;
2007-02-02;0;32;24,4;20;60,2;4,5;
2007-02-03;0;33,1;25,1;20,2;55,2;5,7;
2007-02-04;0;30,3;23,5;17,8;68;5,2;
2007-02-05;5,4;26,4;21,8;19,2;86,1;5,1;
2007-02-06;24,2;27,1;21;17,7;88,1;7,5;
2007-02-07;7;24,7;20;17;83;5,4;
2007-02-08;0;26,6;20,1;14;64,3;4,4;
2007-02-09;0;26,8;21;16,9;72,5;6,2;
2007-02-10;0;26,3;20,5;17,5;84,3;5,6;
2007-02-11;,4;23,1;18,5;16,2;83,8;6;
2007-02-12;,6;23,9;18,1;14,2;72,5;4,9;
2007-02-13;0;26,4;19,8;15,6;77,3;5,5;
2007-02-14;0;29,4;21,8;17,2;77,3;4,8;
2007-02-15;0;29,9;21,9;17,9;81;5,1;
2007-02-16;0;32,8;24,6;18,5;69,6;6;
2007-02-17;10,6;25,6;22,8;20,1;82,2;6,5;
2007-02-18;1,6;21,9;16,8;12,1;77;5,4;
2007-02-19;0;24;17,3;12,7;80,2;4,7;
2007-02-20;,2;24,7;19,3;16,6;85,1;5,8;
2007-02-21;,6;22,5;19,5;16,6;95,5;5,5;
2007-02-22;2,8;25,2;21,7;19,2;93,8;6,3;
2007-02-23;8,2;25,5;21,9;20,6;95,3;3,8;
2007-02-24;38,2;28,4;22,7;19,3;86;4;
2007-02-25;0;30,1;24,4;20,8;79,1;3,5;
2007-02-26;0;30,9;24,6;19,7;75,8;5,7;
2007-02-27;0;31,2;24,8;19,6;71,5;7,1;
2007-02-28;15;28,5;23,3;20,1;83,9;3,8;
2007-03-01;0;30,9;25,5;21,7;78,7;7,3;
2007-03-02;15,4;26,8;18,6;17,4;96;5,5;
2007-03-03;8,4;17,7;16,9;15,8;98,9;7,9;
2007-03-04;11,2;28,8;22,2;16,5;90;5,9;
2007-03-05;13;28,4;23,2;20,9;90,4;5,5;
2007-03-06;22,8;25,6;22,1;20,2;90,6;3,6;
2007-03-07;,6;27,9;23,3;20,5;89,5;3,9;
2007-03-08;,4;31;24,5;21,3;83,5;6,1;
2007-03-09;21,4;25,6;19,3;18,2;92;6,2;
2007-03-10;2,4;22,4;18,9;16,5;79,2;3,5;
2007-03-11;0;23,4;18,4;13,8;69,2;2,5;
2007-03-12;0;25,7;19,7;15,9;75,8;4,4;
2007-03-13;0;27,7;21,3;17,8;86,4;5;
2007-03-14;0;28,3;23;19,8;84,2;4,9;
2007-03-15;0;26,4;22,7;20,5;83;5;
2007-03-16;1,4;24,6;20;17,8;86,2;5,6;
2007-03-17;3;21,8;17,6;15,7;92;5,5;
2007-03-18;45,2;21,1;17,3;15;97,7;5,9;
2007-03-19;38;21,6;18,4;15,4;93,3;5,6;
2007-03-20;1;24,4;18,9;16,5;89,9;4,4;
2007-03-21;0;24,1;19,5;17;90,1;4,1;
2007-03-22;,2;26,8;21,4;18,5;86,2;4;
2007-03-23;0;29,6;22,8;18,6;82,5;5;
2007-03-24;,4;23,9;19,6;17,1;90,3;5;
2007-03-25;0;22,6;19;17;91,9;4,4;
2007-03-26;,2;23,2;20,3;19;90;5,3;
2007-03-27;7,6;27,2;21,3;17,8;86;5,8;
2007-03-28;7,6;24,2;21,7;19,8;93,2;5;
2007-03-29;,2;28,2;23,4;20,1;92,2;4,3;
2007-03-30;,2;31,7;25,2;21,1;84,5;5,3;
2007-03-31;4,4;24,1;20,5;18,3;91,2;3,9;
2007-04-01;2,4;21,1;19,1;18,1;95,8;5,5;
2007-04-02;0;22,2;19,5;17,9;96,5;5;
