Nome: CACAPAVA DO SUL
Codigo Estacao: A812
Latitude: -30.54527777
Longitude: -53.46694443
Altitude: 420.82
Situacao: Operante
Data Inicial: 2006-06-21
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-06-21;null;10,6;null;null;null;null;
2006-06-22;null;null;null;null;null;null;
2006-06-23;null;17,2;null;10,7;67,9;null;
2006-06-24;0;23,1;16,3;12,3;86,5;5,2;
2006-06-25;0;21,7;16,3;14;87;5,7;
2006-06-26;21,2;12,7;8,8;8,1;97;9,3;
2006-06-27;1,6;12,3;9,2;6,6;85,5;3,1;
2006-06-28;0;12,6;8,7;5,1;78,6;2,9;
2006-06-29;0;15;10,5;7,8;84,3;4,6;
2006-06-30;0;15,2;11,1;8,6;90,9;4,1;
2006-07-01;0;18,7;13,4;10,5;88,7;2,3;
2006-07-02;0;14,8;11,9;8,3;99,1;1,6;
2006-07-03;,2;17,3;12,6;10,3;97,8;2,9;
2006-07-04;0;20,1;15,8;10,7;93,7;2,7;
2006-07-05;,2;19,5;16,6;12,9;89,5;2,3;
2006-07-06;0;19;14,9;13,2;null;3,5;
2006-07-07;,2;21,8;16,9;13,3;null;4,3;
2006-07-08;,2;24,2;19,9;15,5;75,3;4,2;
2006-07-09;15,2;20,8;13,1;9,4;74,9;6,1;
2006-07-10;0;13,9;9,8;5,9;67,5;3,3;
2006-07-11;0;17,7;12,8;9;90,1;5,4;
2006-07-12;42,6;26;20,3;11,8;77,3;5,3;
2006-07-13;0;26,2;22,5;20;60,2;4,4;
2006-07-14;23;20,1;11,7;11,2;98,8;5,7;
2006-07-15;12,4;13;11,7;10,5;99,9;5,7;
2006-07-16;1,4;15,6;13,8;11,2;99,6;5,4;
2006-07-17;5;22,3;17,8;13,3;89,3;1,9;
2006-07-18;0;22,1;17,9;15,3;87,6;3,4;
2006-07-19;0;21,8;18,1;16,1;71,2;4,4;
2006-07-20;0;21,8;17,2;13,4;62,2;2,8;
2006-07-21;0;23,7;19,2;15,6;65,6;3,8;
2006-07-22;0;26,1;21;17,1;57;5;
2006-07-23;0;23;16,1;14,3;76,4;4,6;
2006-07-24;0;15,7;12,7;10,2;94,9;5,4;
2006-07-25;4,2;18,2;16,2;12,3;100;3,8;
2006-07-26;,2;18,1;16,9;15,7;97;3,8;
2006-07-27;8,4;21;17,2;15;96;5,8;
2006-07-28;1,6;19,9;12,3;7,9;70,4;5,9;
2006-07-29;0;11,3;6,6;5,1;71,6;7,6;
2006-07-30;0;8,6;3,7;-,4;76,9;3,5;
2006-07-31;0;9;4,8;1,7;75,3;2,1;
2006-08-01;0;10,6;6,2;2,1;67,7;2,7;
2006-08-02;0;12,1;6,6;1,6;71,6;3,5;
2006-08-03;0;13,8;8,3;4,8;88,8;4,4;
2006-08-04;0;17,2;11,2;6,7;94;2,4;
2006-08-05;0;21,7;16,3;9,3;86,9;2,6;
2006-08-06;4,2;16,1;13,4;12,3;99,1;3,9;
2006-08-07;,2;25,5;18,3;12,5;79,5;5;
2006-08-08;0;25;20,9;15,8;67,3;4,2;
2006-08-09;0;23,5;20,1;15,1;69;4,9;
2006-08-10;26,6;16;12,5;9;78,2;3,4;
2006-08-11;3;18,2;11,8;8,4;91,3;5,4;
2006-08-12;81;23;19,1;8,3;87,6;3,7;
2006-08-13;1;23;19,7;16,1;87,4;4,3;
2006-08-14;1,8;23,7;19,8;15,8;83,1;6,2;
2006-08-15;10,8;18,3;null;9,8;90,4;4,9;
2006-08-16;null;12,2;9,6;7,7;83,8;3,5;
2006-08-17;1,2;15,2;9,9;5,5;85,5;1,8;
2006-08-18;2;13,5;9,8;6,1;84,4;3,5;
2006-08-19;0;13,6;8,9;5,2;71;3,3;
2006-08-20;0;11,5;9,1;7,5;65,6;6,8;
2006-08-21;0;10,6;5,3;1;69,6;3,2;
2006-08-22;0;14,3;8,7;4,1;59,8;3,2;
2006-08-23;0;21,6;15;7,3;45,5;4,2;
2006-08-24;0;22,4;17,2;13,3;54,3;2,8;
2006-08-25;0;25,5;19,5;13,4;56,2;4,1;
2006-08-26;1,8;21,8;17,6;15,2;80;4,9;
2006-08-27;9,8;16,3;11,4;9,1;83,1;5,7;
2006-08-28;0;12,5;7,6;2,9;67;3,2;
2006-08-29;0;14,5;9,4;5,1;60,1;2,3;
2006-08-30;0;15,7;10,1;5;72,1;5,9;
2006-08-31;10,6;19;13,7;8,9;88;3,1;
2006-09-01;,2;19,1;13,8;9,6;92,3;3,3;
2006-09-02;10,4;15;10;10,2;96,6;8,5;
2006-09-03;2,6;10,9;6,7;3,4;71,9;8,1;
2006-09-04;0;9,1;4,9;1,9;73,2;5,7;
2006-09-05;0;11,4;5,9;1,2;69,1;3,4;
2006-09-06;0;13,3;7,9;3,2;69,8;3,8;
2006-09-07;0;16,1;10,7;6,8;71,7;6;
2006-09-08;0;18,6;13,5;9,5;78;4;
2006-09-09;21,8;19,3;15,4;12,1;79,4;3,4;
2006-09-10;0;20,8;15,8;10,4;67,8;3,6;
2006-09-11;0;27,6;21,9;13;74,7;5,9;
2006-09-12;0;25,4;18,5;17,6;81,3;3,7;
2006-09-13;28,2;12,9;9,7;6,4;94,9;5,9;
2006-09-14;14,6;16,3;12,9;7,3;100;3,3;
2006-09-15;64,8;19,6;14,4;11,9;80,9;4,2;
2006-09-16;0;17,7;13,1;9,3;58,4;3,8;
2006-09-17;0;20,3;13;7,2;73,9;3,6;
2006-09-18;0;22,9;16,2;10,5;73,7;1,7;
2006-09-19;0;23,5;17,5;12,6;72,3;4,4;
2006-09-20;0;18,4;15;13,1;89,6;3,8;
2006-09-21;1,8;18,5;14,7;11,9;91,2;3,5;
2006-09-22;,2;22,7;16,1;12,3;88,5;4,8;
2006-09-23;0;19,9;16;11,9;66,9;5;
2006-09-24;0;16,7;10,4;5;64,8;3,5;
2006-09-25;0;18,1;12;6,8;71,4;2,8;
2006-09-26;0;21,2;14,3;8,2;59,1;6,6;
2006-09-27;0;21,7;16,2;11,7;72,5;4,6;
2006-09-28;0;20,3;16,9;15;71,4;3,7;
2006-09-29;0;19,8;13,2;8,8;74,6;5,1;
2006-09-30;0;22,5;14,6;8,4;75;6;
2006-10-01;0;22,9;16,6;11,5;82,8;4;
2006-10-02;0;25,2;19;14,3;80,8;3,1;
2006-10-03;0;27,9;20;14,2;78,7;2,7;
2006-10-04;,8;22,4;18,9;16,2;91,5;3,8;
2006-10-05;31,8;21,3;16,4;15,6;92,9;4,6;
2006-10-06;5,8;19,7;13;7,5;73,5;5,2;
2006-10-07;0;19,5;14,3;10,4;84,9;3,2;
2006-10-08;0;21;14,6;8,9;74,5;3,5;
2006-10-09;0;26,5;17,1;9,8;78,4;4,5;
2006-10-10;0;29,6;22,7;14,4;76,3;3,8;
2006-10-11;32,4;24;18,7;16,7;90,2;3,2;
2006-10-12;0;22,3;17,3;12,8;86,4;4,5;
2006-10-13;0;24,9;19,3;16,1;88,4;4,9;
2006-10-14;,2;29,3;21,5;16,6;85,8;5,6;
2006-10-15;39,2;21,9;17,8;17,8;94,9;4,2;
2006-10-16;9,2;20,5;14,8;10,9;61,6;4,9;
2006-10-17;0;22,2;14,9;9,8;76,8;5,7;
2006-10-18;0;21,9;15,6;11,3;80,3;6;
2006-10-19;0;21,4;15,6;12,3;79,2;6,1;
2006-10-20;0;20,9;15,2;10,6;78,1;4,5;
2006-10-21;0;23;15,9;9,9;66;4;
2006-10-22;0;25,8;19,6;13,4;59,2;2,5;
2006-10-23;0;25,2;19,3;12,9;72;4,1;
2006-10-24;0;28;22;16,7;69,2;4,6;
2006-10-25;0;30;24,4;19;59,3;3,9;
2006-10-26;0;27,1;20,2;16,7;72;5,2;
2006-10-27;0;21,3;15,4;10,3;73,5;5,6;
2006-10-28;0;26,6;18,8;13;75,3;5,4;
2006-10-29;0;25,9;18,8;14,7;84,8;5,6;
2006-10-30;9,8;25,1;20,5;17,7;90,4;3,5;
2006-10-31;0;23,1;19,2;17,8;94,9;3,8;
2006-11-01;0;22,2;18,3;17,1;92,5;3,9;
2006-11-02;,2;24,1;18,2;12,8;73,4;2,9;
2006-11-03;0;24,8;18,6;13,2;72,3;4,1;
2006-11-04;0;22,7;17;14,2;80,7;6,6;
2006-11-05;0;25,6;18,9;15,1;87,8;6,2;
2006-11-06;73,8;22;19,6;18,3;87,2;5,8;
2006-11-07;1;19,2;15;9,7;64,6;4,3;
2006-11-08;0;19,9;13,2;7,9;60,8;3,1;
2006-11-09;0;21,9;15,4;9,8;46;3,4;
2006-11-10;0;24,9;18,8;12,8;45,8;3;
2006-11-11;0;22,4;16,5;11,4;73,5;3,7;
2006-11-12;0;24;16,9;11,1;73,4;5,7;
2006-11-13;0;25,5;19,1;14;64,6;6;
2006-11-14;0;27,8;21,1;15,3;62,5;4,5;
2006-11-15;0;29,6;23,5;18;62,4;4,3;
2006-11-16;0;32,5;21,7;18,3;74,2;4,4;
2006-11-17;40,8;17,8;16,7;15,8;100;5;
2006-11-18;31,8;16,7;15,5;14,9;96,7;6,2;
