Nome: RIO PARDO
Codigo Estacao: A813
Latitude: -29.87222221
Longitude: -52.38194443
Altitude: 106.99
Situacao: Operante
Data Inicial: 2006-09-29
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-29;null;null;null;null;null;null;
2006-09-30;null;null;null;null;null;null;
2006-10-01;null;21,8;17,5;13,3;78,8;2,7;
2006-10-02;0;25,8;19,9;14,9;76,9;2,5;
2006-10-03;0;28,2;21,1;15,9;79,6;2,4;
2006-10-04;0;27,9;22,2;17,8;79,3;3,3;
2006-10-05;5;23,9;19,2;18,7;92,4;3,3;
2006-10-06;6,4;20;15,8;10,9;77;3,2;
2006-10-07;0;19,7;16;12,3;84,4;2,5;
2006-10-08;0;21,9;16,6;12,2;72,8;3,1;
2006-10-09;0;28,2;18,9;11,1;77,3;2,7;
2006-10-10;0;32,3;23,1;17;79,3;2,9;
2006-10-11;42,6;24,1;21,1;18,8;85,6;3,2;
2006-10-12;0;22,8;19;15,2;85;3,1;
2006-10-13;0;27,3;21,6;17,8;82,6;3,6;
2006-10-14;0;31,7;24;18,2;76,6;3,8;
2006-10-15;3,6;25,7;20,3;19,7;92,3;2,5;
2006-10-16;56,8;22,8;17,9;14,2;72,1;3,1;
2006-10-17;0;23,3;16,9;11,6;75,8;4,3;
2006-10-18;0;22,1;17;13,8;79;3,9;
2006-10-19;0;21,2;17,4;15,6;83,5;3,6;
2006-10-20;,2;21,4;17,2;14,8;74,5;4,2;
2006-10-21;0;24,7;17,1;10,4;70;2,5;
2006-10-22;0;26,3;19;11,8;73;1,9;
2006-10-23;0;28,2;21,2;14,6;70,2;3,1;
2006-10-24;0;30;23,6;18,1;64;2,7;
2006-10-25;0;32,6;25,6;18,2;59;1,7;
2006-10-26;1,6;29,6;22,3;19,6;72,8;3,3;
2006-10-27;1,6;23;17,5;12;70,9;3,9;
2006-10-28;0;27,9;20;14,1;73,8;3,7;
2006-10-29;0;29,6;22,1;16,4;76,3;4;
2006-10-30;7,6;29,2;23,1;19,5;85;2,4;
2006-10-31;0;24,3;21,1;19,4;88,7;3;
2006-11-01;,6;22,7;20,6;19,6;90,8;2,4;
2006-11-02;1,2;25,9;20,3;16,5;79,4;2;
2006-11-03;0;27,6;20,2;15,4;73,3;3,4;
2006-11-04;0;23,5;19;14,2;74,3;4,8;
2006-11-05;0;28;21,4;17,1;81,5;4,3;
2006-11-06;56,6;25,5;21,6;19,5;87;4;
2006-11-07;4,6;21,5;18;13,9;64,4;2,8;
2006-11-08;0;21,8;15,7;10,2;65,6;2,2;
2006-11-09;0;23,3;16,5;10,3;60,1;1,8;
2006-11-10;0;26,8;18,9;10,3;56,6;2,3;
2006-11-11;0;24;18,8;14,3;70,1;2,9;
2006-11-12;0;25,6;19;13;69,5;4,4;
2006-11-13;0;28;21,2;14,4;60,9;3,8;
2006-11-14;0;30,5;23,4;17,1;57,8;3,2;
2006-11-15;0;32,2;25,3;18,7;59,3;2,6;
2006-11-16;0;35,1;26,5;20,1;61,2;2,5;
2006-11-17;3,6;21,3;19,4;18,1;94,2;3,6;
2006-11-18;31,8;19,6;18,3;18,1;93,5;4,5;
2006-11-19;24,8;17,2;15,8;15,8;94,5;5;
2006-11-20;3,8;23;18;14;82,7;3,8;
2006-11-21;0;28,4;20,6;13,6;75,5;2,5;
2006-11-22;0;30,8;24,1;17,9;68,1;2;
2006-11-23;0;29,5;22,5;15,7;65,7;3,8;
2006-11-24;0;32;22,5;17,7;81,9;3,3;
2006-11-25;22,6;22,8;20,7;19,8;95,3;2;
2006-11-26;8,4;25,5;21,4;19,4;84,8;3,6;
2006-11-27;0;23,2;18,9;15,4;79,1;5,1;
2006-11-28;,2;26,1;20,8;17,2;80,5;3;
2006-11-29;,2;21,5;19,8;18,5;89,9;3,4;
2006-11-30;3;26;20,6;17,1;79,9;4,2;
2006-12-01;0;29,6;22,6;16,3;71;4,1;
2006-12-02;0;32,7;25,9;19,8;61,4;1,9;
2006-12-03;0;33,7;27,7;21,2;63,6;1,5;
2006-12-04;0;30,2;25,4;20,7;72,8;2,5;
2006-12-05;0;27,1;21,2;16,2;78,5;4,1;
2006-12-06;2,8;27,4;21,8;19;79,3;3,6;
2006-12-07;0;25,1;20,4;16,2;70,7;3,6;
2006-12-08;0;27,1;21,2;16,1;71,5;4,2;
2006-12-09;0;29,8;22,6;16,6;72,1;1,9;
2006-12-10;0;30,2;23,7;18,3;74,6;2,5;
2006-12-11;0;30,7;24,4;20,4;75;3,4;
2006-12-12;0;33,6;26,1;19,9;67,9;3,2;
2006-12-13;0;30;25,6;21,8;65,8;2,6;
2006-12-14;0;35,5;27,4;20,3;68,2;2,3;
2006-12-15;0;33,9;26,9;21,8;72;2,4;
2006-12-16;0;34,7;27;21,4;75;3,1;
2006-12-17;0;38,7;28,6;21,8;71,5;2,3;
2006-12-18;12,4;31,6;25,2;21,6;86,2;3,9;
2006-12-19;14,4;30,1;24,7;21,8;85,9;1,9;
2006-12-20;3,2;29,8;24,5;22,5;86,1;2,7;
