Nome: ALEGRETE
Codigo Estacao: A826
Latitude: -29.70916666
Longitude: -55.52555554
Altitude: 120.88
Situacao: Operante
Data Inicial: 2006-09-27
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-27;null;null;null;null;null;null;
2006-09-28;null;null;null;null;null;null;
2006-09-29;null;null;null;null;null;null;
2006-09-30;null;null;null;null;null;null;
2006-10-01;null;null;null;null;null;null;
2006-10-02;null;null;null;null;null;null;
2006-10-03;null;30,3;23,5;17,7;72;2,3;
2006-10-04;,4;26;23,1;20,6;75,1;3;
2006-10-05;43,6;22,1;18,1;17,8;83,4;2,2;
2006-10-06;1,6;21,4;15,9;11;67,3;4;
2006-10-07;0;23,8;17,7;12,6;74,5;2,5;
2006-10-08;0;23,5;17,6;12,7;66,9;3,6;
2006-10-09;0;29,6;20,5;12,2;67,3;3,1;
2006-10-10;0;32,5;25,3;17,7;72,8;2,7;
2006-10-11;21,8;25,5;21,2;18,2;83,3;3,1;
2006-10-12;0;26,7;21,3;17,5;79,9;3,9;
2006-10-13;0;30,6;23,5;17,8;76,2;3,5;
2006-10-14;0;33,7;25,1;20,4;74,7;4,1;
2006-10-15;45,6;22,1;19,4;18,2;88,4;3,8;
2006-10-16;1,8;23;17,1;9,6;55,6;4,4;
2006-10-17;0;25;18,4;11,9;73,4;5,4;
2006-10-18;0;24,8;19,5;14,6;73,7;5,7;
2006-10-19;0;23,8;18,6;15,2;73,2;5,2;
2006-10-20;0;24,5;18,5;13,4;72,4;4,9;
2006-10-21;0;27,1;19,2;11,8;63,7;2,9;
2006-10-22;0;28,3;21,2;11,3;56,7;2;
2006-10-23;0;31,8;23,7;16,1;52,4;2,4;
2006-10-24;0;32,2;25,6;17,7;60,9;2;
2006-10-25;0;33,8;26,5;19,9;59,1;1,7;
2006-10-26;0;27,2;22,6;18,3;72,2;3,3;
2006-10-27;0;25,5;19,4;13,7;64,2;5;
2006-10-28;0;29,4;22,8;16,8;60,6;4,1;
2006-10-29;0;31,9;22,4;18,3;76,6;3,7;
2006-10-30;18,8;30;23,6;18,3;80,8;2,5;
2006-10-31;46;26,8;23;19,8;84,3;3,8;
2006-11-01;,4;26,6;22,8;20,4;78,8;3,7;
2006-11-02;0;27,2;21,1;15,4;70,4;3,1;
2006-11-03;0;26,7;20,9;15,4;71,9;3;
2006-11-04;0;26,8;21,3;15,7;62,7;6,5;
2006-11-05;0;25,8;21,3;17,1;85,9;4,3;
2006-11-06;38,8;25,9;22,2;19,3;78,5;2;
2006-11-07;0;21,9;17,5;12,9;62,9;2,6;
2006-11-08;0;22,3;16;10,5;61,5;3,3;
2006-11-09;0;23,7;17,1;10,9;50,1;3,8;
2006-11-10;0;26,7;18,9;10;56,2;1,2;
2006-11-11;0;26,5;20,3;14;64,7;2,4;
2006-11-12;0;29;21,1;13,7;60,8;3,5;
2006-11-13;0;30,9;24;15,8;54,5;3,7;
2006-11-14;0;31,8;24,9;17,5;50;2,9;
2006-11-15;0;34;26,4;19;47,3;2,5;
2006-11-16;0;34,2;23,4;20,9;65,4;3,7;
2006-11-17;54,6;21,6;19,6;18,2;92,4;4,5;
2006-11-18;19,8;21,3;18,9;17,9;85,7;6,1;
2006-11-19;0;20,2;18;15,7;77,2;5,1;
2006-11-20;0;25,2;18,6;13,2;73,8;3,6;
2006-11-21;,8;29,3;21,9;14,7;69,1;2,7;
2006-11-22;0;31,5;24,2;16,9;62;,9;
2006-11-23;0;34;25,9;18,6;58,3;2,9;
2006-11-24;0;27,7;22,8;20,6;80;2,6;
2006-11-25;5;29,2;24,1;20,8;80,9;2,1;
2006-11-26;0;28,5;24,2;20,2;74;4,7;
2006-11-27;0;26,5;21,4;16,9;67,8;6,4;
2006-11-28;0;26,6;21,1;16,6;74,3;3,8;
2006-11-29;0;27,7;21,4;16,8;71,5;2,8;
2006-11-30;0;28,4;22,1;16,8;70,5;4,2;
2006-12-01;0;33,6;25,2;17;63,4;3,6;
2006-12-02;0;35,2;26,8;21,7;61,8;2,6;
2006-12-03;,4;32,7;26,4;21,7;60,3;2,5;
2006-12-04;0;32;26,3;20,3;61,9;2,9;
2006-12-05;0;31,7;25,2;18,8;61,5;5,1;
2006-12-06;0;31;24,7;18,6;62;4,7;
2006-12-07;0;27,3;22,2;16,3;60,2;4,7;
2006-12-08;0;31;23,5;16,6;57,1;4,8;
2006-12-09;0;31,2;24,6;17,8;56,9;3;
2006-12-10;0;32,2;25,5;18,4;54;2,1;
2006-12-11;0;32,5;26;20,5;55,1;3,1;
2006-12-12;0;36,1;27,7;20,5;55,3;2,5;
2006-12-13;4;29,8;25,7;21,6;71,8;1,8;
2006-12-14;,2;34,8;25,9;20,8;73,6;1,5;
2006-12-15;,6;34,5;26,6;19,2;66,7;1,2;
2006-12-16;0;38,1;30,2;22,8;59,5;2,4;
2006-12-17;0;37,4;30,5;24,7;62,8;1,4;
2006-12-18;21,2;30,2;23,4;20,5;87,4;2,2;
2006-12-19;8,2;31,2;26,5;20,5;79,8;2,4;
2006-12-20;0;27,6;23;23,3;86;3;
2006-12-21;19,2;29;22,7;16,6;72,4;1,7;
2006-12-22;0;32,3;25,7;19,7;69,7;2,7;
2006-12-23;0;31,3;null;24;77,1;null;
2006-12-24;null;25;22;20,9;88,1;2;
2006-12-25;null;null;null;null;null;null;
2006-12-26;null;null;null;null;52;null;
2006-12-27;0;30,4;23,8;15,5;63,2;1,3;
2006-12-28;0;31,3;25,5;19,6;61,7;2,6;
2006-12-29;0;35,9;27,3;19,8;62,2;3,1;
2006-12-30;0;33,9;27,5;23,3;71;1,4;
2006-12-31;,6;34,7;27,7;21,3;66,1;2,7;
2007-01-01;0;35,7;29,4;22,4;60,1;2,7;
2007-01-02;0;35,3;29,5;22,8;63,1;1,8;
2007-01-03;13,6;32,4;27;22,3;75,3;1,7;
2007-01-04;0;31,2;26,4;23,3;80,8;1,4;
2007-01-05;0;32,4;27;22,3;74,9;2,6;
2007-01-06;0;29,7;24,4;18,8;68,4;3,7;
2007-01-07;0;29,6;24,1;17,9;63,7;5,2;
2007-01-08;0;31;25,2;19,5;68;4,8;
2007-01-09;0;35,1;27,1;20,1;66,2;3,3;
2007-01-10;0;34,8;28,2;24,3;71;2,7;
2007-01-11;18,4;30,3;25,1;21,8;83,9;1,4;
2007-01-12;1;31,3;26,3;23,3;78,8;2,3;
2007-01-13;0;33,8;26,6;19,6;68,2;,9;
2007-01-14;0;28,1;21,5;16,3;55,2;3,8;
2007-01-15;0;27,5;20,8;15,5;63,5;2,9;
