Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2007-07-20
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-20;null;null;null;null;null;null;
2007-07-21;null;null;null;null;null;null;
2007-07-22;null;19,6;15,2;14,3;88;4,4;
2007-07-23;,6;15,8;9,7;3,6;59,6;1,5;
2007-07-24;0;14,7;8,5;3,9;64,6;2,6;
2007-07-25;0;12,9;7,9;3,8;69,6;2,9;
2007-07-26;0;17,9;10,3;4,6;62,6;1,8;
2007-07-27;0;18;11,2;5,7;70,5;2,5;
2007-07-28;0;13,1;8,5;4;57,9;4,5;
2007-07-29;0;14,3;8,1;2,3;57,5;4;
2007-07-30;0;19,5;11,8;3,9;67,5;2,9;
2007-07-31;0;20,9;12,9;6,7;74,8;2;
2007-08-01;0;24,3;16,1;9,6;72;2,3;
2007-08-02;,2;17,8;13,9;12;84,4;3,8;
2007-08-03;,8;12,9;12,1;11,4;92,7;3,3;
2007-08-04;6,2;11,4;9;8,3;87,9;2,9;
2007-08-05;2,4;12,7;7,7;3,1;82,7;2,3;
2007-08-06;0;12,7;10,8;5,3;89,2;1,8;
2007-08-07;1,4;16,8;9,9;4,3;76,1;1,3;
2007-08-08;0;22,8;12,8;5,1;64,6;3,4;
2007-08-09;0;29,8;21,8;8;60,2;4;
2007-08-10;1,2;23;13,3;11,2;84,9;4,8;
2007-08-11;,8;15,3;8,8;2,4;72,4;1,7;
2007-08-12;0;24,1;14,4;5,9;70,2;4;
2007-08-13;0;28,3;21,2;10;73,1;3,8;
2007-08-14;0;26,5;22,9;18,4;62,8;4,4;
2007-08-15;0;28,2;23,9;20,7;53;4,4;
2007-08-16;0;22,1;16;14,7;79,7;5,2;
2007-08-17;0;13,1;10,6;11,2;85,3;5,5;
2007-08-18;,2;14,1;10,4;7,7;84;3,4;
2007-08-19;0;12,6;11,5;8,8;93;3,1;
2007-08-20;2;11,3;9;7,1;82,6;2,9;
2007-08-21;0;20;11;2,9;68,5;3,1;
2007-08-22;0;23,7;16;7,6;64,8;2,7;
2007-08-23;0;31,4;22,3;12,3;61,3;3;
2007-08-24;0;25,4;19,9;18,1;67,5;3,9;
2007-08-25;7,2;19,2;16;13,7;79,5;4,6;
2007-08-26;0;16;13,4;12,9;86,6;5;
2007-08-27;,2;15,2;9,5;4,3;73,5;2,2;
2007-08-28;0;17,6;10,2;2,8;66,8;2,5;
2007-08-29;0;21;13,1;3,3;58,2;3,3;
2007-08-30;0;22,9;14,7;7;71,5;3,4;
2007-08-31;0;23,5;17;10,5;75,7;2,3;
2007-09-01;0;22,7;17;13;78,8;2,6;
2007-09-02;,8;25,7;17,9;11,6;76,8;2,6;
2007-09-03;0;32,4;22,4;15,2;71,4;2,8;
2007-09-04;0;33,5;25,8;18,1;52,7;3,7;
2007-09-05;0;34,8;25,7;19,4;51,8;4,2;
2007-09-06;0;29,5;24;18,8;62,9;4,9;
2007-09-07;0;31,3;25,1;20,3;62,3;2,9;
2007-09-08;0;34,8;26,5;20,3;54,5;3,4;
2007-09-09;0;35,7;27,4;21,4;46,5;3,9;
2007-09-10;0;34,8;26,7;20,2;48,5;3,7;
2007-09-11;0;29,2;24,4;19,2;55,2;3,2;
2007-09-12;,4;24,3;21,6;20,4;72,5;3,2;
2007-09-13;11,2;29,3;23,7;19;65,4;3,5;
2007-09-14;0;25,6;20,4;18,8;78,7;4,2;
2007-09-15;28;20,9;18,9;17,6;92,3;2,6;
2007-09-16;2,2;24,3;20;16,7;85,8;2,6;
2007-09-17;0;24,5;21;18,2;73,6;5,2;
2007-09-18;48,8;22,4;19;18,7;90,1;3,9;
2007-09-19;15,6;20,9;16,2;11,5;75,2;2,1;
2007-09-20;,8;16,8;15,5;13,8;83,3;2,3;
2007-09-21;18,2;25;18,7;14,8;89,2;3,3;
2007-09-22;36,6;21,2;18,7;16,7;92,6;4,2;
2007-09-23;82;19,8;16,6;15,1;93;4,4;
2007-09-24;10,8;16;11,9;7,2;65,9;4,4;
2007-09-25;0;18,4;12,2;7,2;65,2;2,9;
2007-09-26;0;15,5;13,1;10;76,6;4;
2007-09-27;,6;21,8;16,9;12,4;75,2;2,3;
2007-09-28;,2;26;18;11,4;67,5;2,3;
2007-09-29;0;29,9;21,5;13,4;52,3;5,4;
2007-09-30;0;30,8;22,5;15,8;57,8;4,7;
2007-10-01;0;30,2;23,2;16,5;59,6;4,6;
2007-10-02;0;29,4;23,2;18,3;64,5;4,7;
2007-10-03;3,8;31,8;25,1;20,2;66,3;3,9;
2007-10-04;0;30,7;25,6;20,9;63,3;3,6;
2007-10-05;0;32,7;26,1;21,8;57,4;4;
2007-10-06;0;27,8;22;21,6;78,3;4;
2007-10-07;12,2;23,2;20;17,5;85,5;3,8;
2007-10-08;0;29,4;22;15,4;73,9;3,7;
2007-10-09;0;33,5;25,8;19;70,6;3,8;
2007-10-10;16,2;28,9;22,1;18,9;85,3;4;
2007-10-11;16,4;21;19,7;18,9;93;3,2;
2007-10-12;40,8;21,6;19,2;19;89,5;4,7;
2007-10-13;,4;21,6;16,8;13,2;78,2;2,8;
2007-10-14;0;23,1;17,5;12,7;76,7;3,6;
2007-10-15;4,4;22,1;19,1;16,8;91;2,1;
2007-10-16;1;23,2;19,2;16,8;83,5;3,3;
2007-10-17;,2;25,2;19,1;13;73,5;,9;
2007-10-18;0;28,6;21,8;14,7;67,6;1,9;
2007-10-19;0;31;23,8;17,1;62,5;2,3;
2007-10-20;0;31,3;24,4;19,1;71,7;2,9;
2007-10-21;0;26,4;22,2;19,3;75,4;2,8;
2007-10-22;0;29,2;23;17,7;68,5;3,9;
2007-10-23;0;27,8;22,5;18,3;56,9;4,2;
2007-10-24;0;29,7;22,7;16,4;65,6;3,9;
2007-10-25;0;30,4;24,5;18,9;66;2,9;
2007-10-26;0;32,7;26;20,6;68,1;2,1;
2007-10-27;0;26,7;22,4;21,5;77,8;2,5;
2007-10-28;6,6;32,8;24,1;17,8;76,7;2,8;
2007-10-29;16,2;24,1;21,1;18,3;80,3;6,1;
2007-10-30;64,8;22,2;19,4;17,9;90,8;3,3;
2007-10-31;27,6;32,3;25,2;18,6;77,9;3,5;
2007-11-01;29,4;29;20,2;18,8;86,4;4,2;
2007-11-02;0;22;18,5;15,7;66,5;2,1;
2007-11-03;0;26;19,1;11,8;66,8;1,7;
2007-11-04;1;22,3;18,6;15;59,2;3,5;
2007-11-05;0;25,2;17,2;8;48,8;2,4;
2007-11-06;0;27,3;20,2;12,4;52;2,3;
2007-11-07;0;31,7;23,3;15,7;50,2;2,3;
2007-11-08;0;33,6;25,8;17,2;59,4;2,4;
2007-11-09;0;28;22,3;21,3;81,3;2,8;
2007-11-10;1,4;21;19,3;17,3;86,4;2,4;
2007-11-11;2,2;21,6;16,7;11,2;60;3,3;
2007-11-12;0;25,5;17,8;9,7;49,8;2,9;
2007-11-13;0;30,1;21,3;11,8;58,7;2,9;
2007-11-14;6;22,7;19,6;16,9;69;4,2;
2007-11-15;0;21,8;14,8;7,6;51,6;3,8;
2007-11-16;null;null;null;null;null;null;
2007-11-17;null;null;null;null;null;null;
2007-11-18;null;null;null;null;null;null;
2007-11-19;null;null;null;null;null;null;
2007-11-20;null;31,9;26,1;19,7;63,5;1,9;
2007-11-21;0;31,3;25,7;17,4;55,9;2;
2007-11-22;0;33,1;26;18,9;58,3;2,9;
2007-11-23;0;28,1;23,4;21,4;76,8;2,5;
2007-11-24;11,6;21,4;19,4;16,8;85;3,1;
2007-11-25;,2;26,9;20,6;14,3;68,1;2,6;
2007-11-26;0;28,7;22,2;13;53,2;2,8;
2007-11-27;0;30,3;24,2;15,5;49,7;2,7;
2007-11-28;0;30,4;24,7;18,8;51,1;3,3;
2007-11-29;0;33,3;24,6;16,3;50,7;3,8;
2007-11-30;0;34,5;25,6;17,4;46,8;3,8;
2007-12-01;0;36,2;27,3;18,8;50,3;3,3;
2007-12-02;0;31,1;26;21,4;58,2;3;
2007-12-03;0;32,9;27,2;21,4;53;1,9;
2007-12-04;0;36,3;28;22,5;54,2;3,7;
2007-12-05;7,6;25,7;22,3;19,4;79,2;3,3;
2007-12-06;0;28,6;22,4;16,9;63,5;3,1;
2007-12-07;0;30,8;23,8;15,3;51;1,9;
2007-12-08;0;32,7;25,4;17,3;51,6;2,3;
2007-12-09;0;34,5;27,5;19,4;44,4;2,1;
2007-12-10;null;null;null;null;null;null;
2007-12-11;null;null;null;null;null;null;
2007-12-12;null;null;null;null;null;null;
2007-12-13;null;null;null;null;null;null;
2007-12-14;null;null;null;null;null;null;
2007-12-15;null;null;null;null;null;null;
2007-12-16;null;null;null;null;null;null;
2007-12-17;null;null;null;null;null;null;
2007-12-18;null;null;null;null;49,5;null;
2007-12-19;0;33,8;25,5;16,7;55,3;1,7;
2007-12-20;0;34,6;26,6;19,3;44,1;2,2;
2007-12-21;0;35,8;27,9;21,4;44,6;2,5;
2007-12-22;0;36,7;28,3;20,5;50,2;1,8;
2007-12-23;0;37,9;29;22,1;46,3;2,7;
2007-12-24;0;31,4;25,6;21;63,4;3;
2007-12-25;12,8;30,5;24;18,4;73,2;1,4;
2007-12-26;0;34,7;27,7;21;62,8;1,5;
