Nome: QUARAI
Codigo Estacao: A831
Latitude: -30.3686111
Longitude: -56.43722221
Altitude: 113.05
Situacao: Operante
Data Inicial: 2007-10-16
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-10-16;null;null;null;null;null;null;
2007-10-17;null;null;null;null;54,3;null;
2007-10-18;0;27,5;20;11,7;71,5;2,3;
2007-10-19;0;28,8;21,1;13,1;67,9;2,8;
2007-10-20;0;28,6;20,2;15,4;80,7;3,5;
2007-10-21;34,6;25,1;19,7;15,5;70,1;3;
2007-10-22;0;27,1;19,7;12,4;63,7;3,9;
2007-10-23;,6;26,6;20,7;14,6;57;4,7;
2007-10-24;0;28,6;20,4;13;68,4;4,4;
2007-10-25;0;29,4;23,4;18,4;69,8;5;
2007-10-26;0;31;25,5;19,5;73,6;2,3;
2007-10-27;3;25,4;21,5;17,7;81,6;2,8;
2007-10-28;,2;24,8;18,7;14;84,4;4;
2007-10-29;42,2;21,2;19;17,1;90,8;5,1;
2007-10-30;12,4;21,8;18,9;17;92;2,9;
2007-10-31;1,2;29,1;21,7;15,9;85,1;3,2;
2007-11-01;8,4;22,8;18,7;16,7;74,1;3,8;
2007-11-02;0;23,8;17,6;12,2;68,3;1,4;
2007-11-03;0;27;19,8;13,3;65;3,9;
2007-11-04;,6;21,8;15,4;10;61,7;4;
2007-11-05;0;23,6;14,3;5,3;61,5;1,8;
2007-11-06;0;27,6;19,7;11,7;60,3;1,6;
2007-11-07;0;30,8;21,9;12,6;60,5;2,2;
2007-11-08;0;32,8;24,1;15,5;62,2;2,3;
2007-11-09;0;26,6;22,4;20,3;82,3;3,3;
2007-11-10;4,4;20,8;18,2;16,3;79,3;4,5;
2007-11-11;0;19,6;14,3;8,7;64;3,5;
2007-11-12;0;23,9;14,7;5,3;61,3;2,5;
2007-11-13;0;28,6;19,4;9,6;57,1;2,9;
2007-11-14;0;22,4;17,1;12,1;62;4,9;
2007-11-15;0;21;null;2,3;58,5;2,6;
2007-11-16;null;null;null;8,9;78;null;
2007-11-17;null;null;null;null;null;null;
2007-11-18;null;null;null;null;null;null;
2007-11-19;null;null;null;null;null;null;
2007-11-20;null;31,5;24,7;16,9;62,1;2;
2007-11-21;0;29,7;22,1;14,2;64,1;3;
2007-11-22;0;32,4;23,8;14,7;63,7;3,7;
2007-11-23;0;29,4;21,3;18;81,2;3,1;
2007-11-24;9,2;21,4;17,1;12,5;68,5;3,9;
2007-11-25;0;26,1;17,2;8,7;62,1;1,6;
2007-11-26;0;29,7;19,9;8,9;60,3;1,6;
2007-11-27;0;31,7;23,5;14,2;54,9;1,9;
2007-11-28;0;30,2;23,3;16,2;59,6;3,3;
2007-11-29;0;32,2;22,9;14,9;55;4;
2007-11-30;0;33,2;23,6;14,4;52,3;3,9;
2007-12-01;0;34,4;24,7;15,6;54;3,3;
2007-12-02;0;30,2;23,3;16,3;60,7;2,8;
2007-12-03;0;33,3;25,3;16,4;54,9;2,7;
2007-12-04;0;34,4;23,6;18;68;3,3;
2007-12-05;43,2;25,1;20,6;17,9;75,5;4,5;
2007-12-06;0;27,1;18,9;11;61,3;2,6;
2007-12-07;0;28,8;20,4;10,3;59;2,2;
2007-12-08;0;30,7;22,7;13,5;60,3;1,8;
2007-12-09;0;31,8;23,9;15,1;53,3;2,2;
2007-12-10;0;36,1;24,8;20;62,3;5;
2007-12-11;12;27;21,5;17,6;65,5;4;
2007-12-12;0;28,6;20,1;11,8;56,8;3,3;
2007-12-13;0;32,5;22,4;12;60,5;2,8;
2007-12-14;0;33,4;27,6;21;58,5;3,9;
2007-12-15;0;29,6;25,7;21,1;65,2;3,1;
2007-12-16;0;29,2;22,4;15,3;49,5;4,1;
2007-12-17;0;30,2;22;13,6;53;3,5;
2007-12-18;0;31,8;22,9;15,7;57,5;2;
2007-12-19;0;31,9;23,8;14,7;48;2,9;
2007-12-20;0;33,8;24,5;14,8;53,3;2;
2007-12-21;0;35,5;26,7;16,9;49,5;1,8;
2007-12-22;0;37,6;28,1;18,1;45,1;2,2;
2007-12-23;,2;37,1;27,5;18,4;56,7;4,1;
2007-12-24;0;25,9;22,2;20,4;77,9;3,5;
2007-12-25;3,4;31;23,6;16,9;70,1;1,9;
2007-12-26;0;34,3;25,8;16,5;59,4;1,6;
2007-12-27;0;32,3;26,6;21,1;59,6;2,9;
2007-12-28;1,4;34,1;27;22,2;67,8;2,9;
2007-12-29;4,4;32,2;24,9;20;77,8;3,2;
2007-12-30;0;34,5;26,2;20,1;69,9;2,1;
2007-12-31;0;36,1;25,8;19,3;69,3;1,9;
2008-01-01;0;37;28,6;20,2;51,9;3,1;
2008-01-02;0;37,8;28,2;19,6;57,9;3,2;
2008-01-03;0;32,9;25,1;22,3;78;2;
2008-01-04;39,6;33,2;26,1;20,4;73,5;3,2;
2008-01-05;0;31,9;24,8;17,5;57,2;3,2;
2008-01-06;0;33,1;25,2;17,4;60,6;2,5;
2008-01-07;0;34,4;27,2;20,2;52,7;2,4;
2008-01-08;0;37,4;28,8;18,5;48,3;2,1;
2008-01-09;0;37,8;29,7;21,3;49;2,6;
2008-01-10;0;37,8;29,7;20,4;50,4;3,1;
2008-01-11;5,4;31;24,4;19,4;62;4,5;
2008-01-12;,4;29,2;22,7;15,6;54,7;3,8;
