Nome: SANTIAGO
Codigo Estacao: A833
Latitude: -29.191599
Longitude: -54.885653
Altitude: 390.03
Situacao: Operante
Data Inicial: 2009-02-03
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-02-03;null;null;null;null;null;null;
2009-02-04;null;null;null;null;53,8;null;
2009-02-05;0;31,2;23,4;16,6;68,3;null;
2009-02-06;0;27,9;24,2;21,2;72,5;null;
2009-02-07;0;32,6;24,6;18;55;null;
2009-02-08;0;34,1;25,5;18,8;51,7;null;
2009-02-09;,6;33,2;26,2;20,1;59,7;null;
2009-02-10;0;34;26,4;21,5;60,9;null;
2009-02-11;24,4;29,6;25;21,7;71,7;null;
2009-02-12;0;26,3;20,7;14,9;53,1;null;
2009-02-13;0;29,9;21,2;13,7;64,2;null;
2009-02-14;0;32,1;24,5;18;68,4;null;
2009-02-15;0;32,8;25,2;19,7;64,4;null;
2009-02-16;0;26,1;22,4;20,9;77,5;null;
2009-02-17;12,2;31,6;24,1;17,5;71,5;null;
2009-02-18;0;32,6;25,3;21,1;72,6;null;
2009-02-19;34,2;31,7;25,2;20,8;82,7;null;
2009-02-20;7,6;33;25,2;19,7;76,4;null;
2009-02-21;14,4;26,6;23;20,4;86,2;null;
2009-02-22;2;31,8;25;19,9;78;null;
2009-02-23;25;28,7;20,8;20,6;92,9;null;
2009-02-24;,2;26,6;21,1;16,5;76,6;null;
2009-02-25;0;21,4;18,9;16,3;88,8;null;
2009-02-26;1,4;20,1;18,8;18,1;95,3;null;
2009-02-27;37;28,4;21,1;16,8;86,3;null;
2009-02-28;0;30,3;23;17,7;80,1;null;
2009-03-01;0;31,7;26,2;21,3;73,3;null;
2009-03-02;34,6;27,6;20,9;19,9;92,7;null;
2009-03-03;35,8;31,3;24,1;18,7;78,8;null;
2009-03-04;0;32,5;26,1;22,6;73,5;null;
2009-03-05;12,2;26,8;22,3;18,8;81,9;null;
2009-03-06;0;27,6;21,8;17,9;79,7;null;
2009-03-07;0;29,8;22,5;16,8;75,9;null;
2009-03-08;,2;28,1;21,8;18;78,4;null;
2009-03-09;,2;26,8;20,2;16,4;87;null;
2009-03-10;,2;26,9;21,8;18,3;83,5;null;
2009-03-11;3;27,7;22,6;19,6;80,8;null;
2009-03-12;9,2;28;23;19,9;79,5;null;
2009-03-13;,4;27,4;21,9;16,8;73,9;null;
2009-03-14;0;29,4;22,3;15,7;66,3;null;
2009-03-15;0;24,7;21;19,5;66,8;null;
2009-03-16;0;27;17,7;10,3;59,4;null;
2009-03-17;3,8;25,8;19,7;15,2;70,4;null;
2009-03-18;,2;25,9;19,2;14,2;71,9;3,6;
2009-03-19;0;28,7;20,4;13,4;77,8;3,2;
2009-03-20;0;29,7;23,1;18,7;74,6;2,5;
2009-03-21;0;29,2;23;18,2;73,1;2;
2009-03-22;0;30,2;22,9;17,3;68,3;2,3;
2009-03-23;0;29,2;22,7;16,9;73,9;2,9;
2009-03-24;0;27,8;21,9;18,3;80;4,4;
2009-03-25;,2;29,3;21,5;15,1;78,1;3,8;
2009-03-26;0;29,4;21,5;19,3;81,4;3,6;
2009-03-27;35,8;26,7;21,8;18,4;83;2,3;
2009-03-28;0;29,1;22,7;17,7;70,5;2;
2009-03-29;0;30,7;23,3;16,8;64,7;2,2;
2009-03-30;0;32,3;25;20,3;62,7;2,5;
2009-03-31;0;31,2;24,9;20,2;61,2;2,5;
2009-04-01;0;24;20,2;17,8;81,3;4,2;
2009-04-02;0;27,9;18,6;12,3;74,8;4,3;
2009-04-03;0;32,5;23,4;16,5;70,7;2,8;
2009-04-04;0;30,9;23;19,6;73,1;4,6;
2009-04-05;0;26,8;20;16,4;83,8;3,6;
2009-04-06;,2;29,7;21,5;15,6;80,6;2,7;
2009-04-07;,2;30,1;22,2;17,1;74,7;2,6;
2009-04-08;,2;27,1;20,8;16,5;78,4;3,3;
2009-04-09;0;26,1;20,4;14,8;69,8;2,5;
2009-04-10;0;23,8;17;9,4;59,8;2,2;
2009-04-11;0;27,3;19,2;13,2;46,2;1,9;
2009-04-12;0;30,3;21;13,1;53,4;2,6;
2009-04-13;0;31,4;24,2;19,1;49,5;1,8;
2009-04-14;0;28,3;22,6;17,3;58;3,6;
2009-04-15;0;25;18,1;13,4;73,3;3,6;
2009-04-16;0;29,2;19,1;10,6;66,8;2,9;
2009-04-17;0;30,7;23;16,8;56,8;2,3;
2009-04-18;0;29,2;24;18,2;44,6;2,5;
2009-04-19;0;24;17,5;16,8;77,2;3,1;
2009-04-20;12,6;20,6;13,8;7,7;71,2;4,6;
2009-04-21;0;22,6;15,2;9,7;76,2;3,9;
2009-04-22;0;24,5;17,8;14,2;84,3;1,8;
2009-04-23;,2;24,4;17;12,8;91,1;1,9;
2009-04-24;,4;25,9;18,5;14,5;82,9;3,6;
2009-04-25;0;28,8;19,9;14,3;79;2,9;
2009-04-26;,2;26,6;20,6;15,8;76,4;2,8;
2009-04-27;,2;25,5;19;14,5;76,5;2,8;
2009-04-28;0;27;19,3;13,2;61,2;2,5;
2009-04-29;0;28;20,2;14,5;56,9;2,3;
2009-04-30;0;25,4;18,8;13,8;65,8;3,4;
2009-05-01;0;25,9;17,9;12,3;74,1;3,9;
2009-05-02;0;25,4;18,3;13,7;76,4;2,3;
2009-05-03;0;27,3;19,9;14,2;72;2,3;
2009-05-04;0;28;20;15;70,1;2,3;
2009-05-05;0;25;19,9;16,1;67,4;2,7;
2009-05-06;0;21,1;14,8;8,6;58,8;1,8;
2009-05-07;0;24,9;15,8;9,3;52,2;1,9;
2009-05-08;0;23,4;16,2;13,2;63,3;2;
2009-05-09;0;26,5;17,2;10,8;67,7;2,5;
2009-05-10;0;28;20,1;13,6;61,6;2,2;
2009-05-11;0;31,8;23,2;17,5;65,6;2,6;
2009-05-12;0;24,5;21,3;22,1;83,8;3,5;
2009-05-13;34,4;25;19,8;17;90,9;4,3;
2009-05-14;29;19,6;13,2;11,6;89,9;4,7;
2009-05-15;,2;15,7;9,9;5,9;78,4;2,3;
2009-05-16;0;17,1;10,3;5;67,4;1,6;
2009-05-17;0;23,4;14,5;7,6;58;3;
2009-05-18;0;21,6;17,7;12,9;68,5;2,8;
2009-05-19;1,6;24,3;17,6;14,3;87,8;3,2;
2009-05-20;0;27,7;20,5;14,5;78,4;2,6;
2009-05-21;0;28;22,5;17,7;69,9;3,5;
2009-05-22;0;27,4;21,5;16,8;65,3;2,8;
2009-05-23;0;27,2;20,7;15,7;65,4;2,9;
2009-05-24;0;22,2;19;16,9;76,3;3,3;
2009-05-25;5,4;21;18,1;16,3;94,4;2,5;
2009-05-26;,4;22,4;17,5;15,3;91,8;2,7;
2009-05-27;0;20;13,3;8,7;78,6;4,7;
2009-05-28;0;15,4;10,5;7,1;77,5;4,1;
2009-05-29;0;14,1;10,8;8,8;75,8;5,7;
2009-05-30;34,2;13,6;11,6;9,8;97;4,9;
2009-05-31;22;10,7;7,7;7;97,2;5,2;
2009-06-01;4,8;12,2;8,2;6,7;87,8;3,1;
2009-06-02;0;11,3;6,9;3,7;81,9;2,5;
2009-06-03;0;13,8;6,6;1,6;76;2;
2009-06-04;0;16,4;9,8;4,9;60,3;3,1;
2009-06-05;0;18,7;12,8;7,7;61,2;2,6;
2009-06-06;0;16,4;10,1;4;68,6;2,5;
2009-06-07;,2;17,7;9,7;4,9;80,1;3,6;
2009-06-08;0;20,7;11,5;5,4;82,3;2,1;
2009-06-09;3,8;14;10,2;9,1;95,9;1,4;
2009-06-10;,4;12,5;7,5;2,9;94,2;1,7;
2009-06-11;,4;15;8,7;2,6;86,1;1,8;
2009-06-12;,2;15,7;9;4,3;85,3;2,6;
2009-06-13;,2;18,8;11,1;6,7;78,6;3,4;
2009-06-14;0;20;12,5;7;72,1;3,4;
2009-06-15;0;17,4;12,9;9,2;73,7;2,8;
2009-06-16;8,6;17,3;12,4;10,6;87,5;2,7;
2009-06-17;,4;18,3;11,2;6,4;81,5;1,9;
2009-06-18;,4;19,6;12;7;81,4;3;
2009-06-19;0;21,6;14,8;10,1;72,3;4;
2009-06-20;0;25,2;18;12,9;66,5;5,1;
2009-06-21;0;21,7;17,7;14,8;75,3;4,3;
2009-06-22;8,8;19,7;16,7;15,6;91,9;3,7;
2009-06-23;44,4;16,9;14,5;15,8;96;4,4;
2009-06-24;24,6;11,4;6,5;2,7;86;3,8;
2009-06-25;,2;12,6;6,8;2,9;85,6;2,9;
2009-06-26;,2;15,9;8,3;4,1;82,9;3,8;
2009-06-27;,2;16,6;8,8;3,3;87,8;3,3;
2009-06-28;,2;20,7;13,1;6,9;92,6;4,1;
2009-06-29;0;21,6;16,8;10,7;86;6,7;
2009-06-30;17,6;16,4;11,5;7,8;73,6;3,2;
2009-07-01;0;19,5;12,7;7,5;57,6;1,6;
2009-07-02;0;19,2;12,7;7,2;63;1,5;
2009-07-03;0;20,4;12,6;7,3;63,2;1,6;
2009-07-04;0;21,2;13,2;7;49,3;3,4;
2009-07-05;0;17,6;14,6;12;72,7;3,3;
2009-07-06;0;23,3;17;11,8;83,9;4,2;
2009-07-07;10,6;23,7;18,8;15;90,4;3,4;
2009-07-08;17,2;18,8;16,6;15,6;91,5;3;
2009-07-09;4,6;13,2;9,4;7,2;96,3;4,7;
2009-07-10;,4;17;12,6;7,4;93,9;2,2;
2009-07-11;,2;13,3;9,3;7,2;80,5;3,6;
2009-07-12;,2;14,3;7,2;1,4;83,1;2,1;
2009-07-13;0;17,2;11,2;5,9;74,6;3,4;
2009-07-14;0;14,2;8,9;5,8;81,2;3,2;
2009-07-15;0;9,8;8;5,4;90,3;2,7;
2009-07-16;12,6;15,3;10,4;7,2;91,8;1,7;
2009-07-17;,2;15,3;8,4;3,4;88,6;1,6;
