Nome: LAGOA VERMELHA
Codigo Estacao: A844
Latitude: -28.222381
Longitude: -51.512845
Altitude: 833.83
Situacao: Operante
Data Inicial: 2007-03-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-03-01;null;null;null;null;null;null;
2007-03-02;null;28,4;21,3;null;86,9;2,9;
2007-03-03;46;27,3;21,2;17,8;86,2;3,1;
2007-03-04;0;28,8;23;19,2;75,2;3,5;
2007-03-05;0;29;22,7;19,6;81,2;2,7;
2007-03-06;,6;30,3;22,9;18,8;75,2;2,8;
2007-03-07;31,6;29,8;22,2;17,2;80,1;2,8;
2007-03-08;0;29,3;22,8;18,2;73,7;3,3;
2007-03-09;0;27,7;21,1;19,4;80,6;3,3;
2007-03-10;11;22,6;18,4;15,9;90,7;2,4;
2007-03-11;9,6;26,3;20,1;16,6;84,3;2,2;
2007-03-12;0;26,9;20,7;16,3;85,3;3,1;
2007-03-13;86,6;26,5;20,6;16,8;85,2;2,7;
2007-03-14;0;28,2;20,5;14,4;79;1,9;
2007-03-15;0;25;21,1;18,2;86,5;2,6;
2007-03-16;2;25,8;21,2;18,6;83,1;3,1;
2007-03-17;2;20,1;16,7;15,5;94,3;4,3;
2007-03-18;34,4;23,1;18,6;15,9;82,5;2,8;
2007-03-19;1,8;22,6;16;11,4;88,9;2,2;
2007-03-20;1,6;21,7;17,5;13,9;92;2,6;
2007-03-21;5,2;25;19,7;16,4;82,6;2,8;
2007-03-22;0;27,6;21,2;16,6;76,9;2,6;
2007-03-23;0;28,2;22,4;17,7;69,4;2,8;
2007-03-24;0;28,7;22,1;17,6;72,8;2,4;
2007-03-25;0;28;20,9;18;86;3,1;
2007-03-26;15;29,8;21,5;16,7;80,1;2,5;
2007-03-27;1,8;30,3;23,3;17,4;73,9;3,2;
2007-03-28;0;31,7;25,3;19,9;65,9;2,4;
2007-03-29;0;31,6;24,4;19;68;2,8;
2007-03-30;0;31,6;24,9;18,5;65,3;2,7;
2007-03-31;4;30,2;22,3;18,4;75,2;2,4;
2007-04-01;3,4;28,1;21,1;17,4;84,2;2,3;
2007-04-02;0;29,2;22,1;18,4;80;2,6;
2007-04-03;0;28,7;20,8;18,6;86,3;2,7;
2007-04-04;5,4;25,1;19,7;15,4;84,5;2,9;
2007-04-05;0;24,8;19,1;15,7;84;3,1;
2007-04-06;3;21,3;17,7;14,4;84,6;4;
2007-04-07;0;23,7;18,8;16,3;81,3;3,8;
2007-04-08;13;21,3;17,7;15,8;84,5;3,7;
2007-04-09;1,4;20,7;16,6;14,3;85;3,9;
2007-04-10;,2;25,3;17;10,7;77,1;2,8;
2007-04-11;0;25,6;19,1;14,2;72,7;3,3;
2007-04-12;10;19,9;17,2;15,6;90,4;2,4;
2007-04-13;1,2;22,4;17,6;14;86;3,6;
2007-04-14;0;21,6;17,9;14,3;85;4,3;
2007-04-15;19,8;26,5;20,1;16,2;84;3,4;
2007-04-16;5,2;27,9;20,5;15,9;87,4;2,4;
2007-04-17;0;28,3;21,8;17,1;74,8;3,1;
2007-04-18;0;28,2;21,2;16,5;73,3;2,7;
2007-04-19;0;25,8;20,1;15,5;75;3,9;
2007-04-20;0;27,6;21;16,4;72,6;2,8;
2007-04-21;0;27,8;21,3;16;66,5;2,6;
2007-04-22;0;27,6;21,3;15,8;63,9;2,3;
2007-04-23;0;27,7;20,4;15,2;69,4;2,9;
2007-04-24;0;24,3;20;17,3;81,9;2,9;
2007-04-25;9;18,7;17,2;16,2;94,2;2,9;
2007-04-26;34,4;17,4;15,2;15,1;97,1;3,9;
2007-04-27;1;14,7;9,9;5,6;79,3;4,3;
2007-04-28;0;19,7;null;4,5;77,8;4,3;
2007-04-29;null;21,6;15,3;9,5;71,9;3;
2007-04-30;0;22,5;15,1;8,6;71,5;2,8;
2007-05-01;0;24,8;17,1;10,4;78,2;2,6;
2007-05-02;0;20,9;16,7;14,4;93,4;2,6;
2007-05-03;19,4;22,1;17,2;13,6;85,8;3,1;
2007-05-04;0;23,9;18,5;15,4;78,8;4,6;
2007-05-05;0;25,6;19,1;14,2;77,2;3;
2007-05-06;0;24,7;19,7;15;73,6;3;
2007-05-07;58,8;20,6;14,9;14,9;97;3,5;
2007-05-08;29;12,2;8,7;6,6;88,3;3,9;
2007-05-09;0;10,2;5,3;1,2;84,5;4,1;
2007-05-10;0;17,4;10,3;3,1;76,9;4,7;
2007-05-11;0;19,1;13,7;9,6;76,1;3,1;
2007-05-12;,2;20;13,3;6,7;79,4;2,4;
2007-05-13;,4;15,2;11,2;7,7;95,5;3,6;
2007-05-14;35,8;14,6;10,9;8,7;97,5;2,6;
2007-05-15;,8;20,6;14,4;8,9;82,3;3,8;
2007-05-16;0;17;15,5;13;91,8;3,7;
2007-05-17;39,2;15,5;9,6;8;94,7;4,8;
2007-05-18;10,4;12,1;9,8;8,4;98,8;3,5;
2007-05-19;,2;17,1;11,6;8,5;88,8;3,8;
2007-05-20;0;17,4;14,3;9,5;84,8;4,5;
2007-05-21;27,4;15,9;13,8;12,4;94,5;4;
2007-05-22;9,4;17,9;14,4;12,4;91,6;2,3;
2007-05-23;9,6;15;10,6;9,8;86,5;4,3;
2007-05-24;0;11,6;6;2,7;76,3;3,2;
2007-05-25;0;16,4;8;1,1;69,8;2,4;
2007-05-26;0;18;10,8;5;67;2,3;
2007-05-27;0;17,2;11,3;6,7;68,5;2,2;
2007-05-28;0;13,1;9;6,7;86;3,1;
2007-05-29;0;7;2,8;-1,6;76,3;3,6;
2007-05-30;0;11,4;5,5;,3;84,5;3,2;
2007-05-31;,2;15,1;8,7;3,6;80,3;4;
2007-06-01;0;12,7;11,5;8;90,7;2,9;
2007-06-02;20;12;7,6;3,7;82,1;3,2;
2007-06-03;0;13,9;7,1;2,5;71,9;3,6;
2007-06-04;0;15,9;8,6;2,1;68,4;2,2;
2007-06-05;0;18;10,7;4,7;58,5;1,6;
2007-06-06;0;20,3;12,8;6,2;53,4;2,4;
2007-06-07;0;19,5;15,3;10,6;76,5;2,1;
2007-06-08;2,8;21,9;16,2;12,8;90,7;1,9;
2007-06-09;0;24,6;19;13,1;77,8;3,8;
2007-06-10;0;23,8;19,1;14,8;71,7;3,1;
2007-06-11;0;23,7;18,8;14,7;72,6;3,2;
2007-06-12;0;22;17,3;13,8;73,8;2,7;
2007-06-13;0;22;17,6;13,2;72,6;3,2;
2007-06-14;0;23,7;19;14,6;63;2,9;
2007-06-15;0;21;16,3;14,7;76,5;4,6;
2007-06-16;11,6;12,8;8,2;5,2;85,6;2,4;
2007-06-17;0;15;10,8;5,7;88;2,6;
2007-06-18;2,6;16,2;14;10,5;96,3;1,8;
2007-06-19;1,2;23,1;17,2;12,7;80,6;3,7;
2007-06-20;0;25;19;14,2;70,5;3,6;
2007-06-21;0;24,5;19;13,9;65,6;2,8;
2007-06-22;0;22,6;17,7;13,8;71;3,1;
2007-06-23;0;21,9;17,5;14,3;68,5;4;
2007-06-24;5,8;17,9;9,4;8,2;81,6;2,6;
2007-06-25;0;12,7;6,8;,7;86,3;3,7;
2007-06-26;5,4;15;11,7;3;94;3,1;
2007-06-27;10;13,6;11,3;10,2;95,2;2,5;
2007-06-28;,4;10,8;8,4;6,7;89,5;2,1;
2007-06-29;0;14,2;8,4;3,1;90,8;2,1;
2007-06-30;,4;11,8;7,2;4,2;95,7;1,4;
2007-07-01;,6;16,8;8,6;3,2;87;1,3;
2007-07-02;0;19,1;11,7;3,9;74,3;2,3;
2007-07-03;0;19,8;13,2;7,7;71,6;2,2;
2007-07-04;0;23,2;16,2;10,8;64,5;2,8;
2007-07-05;0;24,5;18,2;13,5;57,2;4,2;
2007-07-06;0;21,5;18,2;15;58,8;3,4;
2007-07-07;,2;21,1;19;16,3;61;3,2;
2007-07-08;22,2;20,2;13,8;12;89,3;3,2;
2007-07-09;39,8;16,3;12,7;10,3;99;2,9;
2007-07-10;74,6;14,8;10,6;10,7;98,7;3,5;
