Nome: CRUZ ALTA
Codigo Estacao: A853
Latitude: -28.60344
Longitude: -53.673597
Altitude: 426.69
Situacao: Operante
Data Inicial: 2007-05-30
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-30;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;
2007-06-01;null;16,5;12,9;null;78,6;1,6;
2007-06-02;,2;14,7;8,5;3,5;78,8;1,5;
2007-06-03;0;17;9,4;3,1;69;2,6;
2007-06-04;0;18,6;10,9;4,1;62,8;1,3;
2007-06-05;0;20,9;12,6;6,3;61,2;1,4;
2007-06-06;0;22,9;13,8;6,1;60,5;1,5;
2007-06-07;0;24,1;17;10,1;65,1;1,1;
2007-06-08;0;25,6;17,3;11,6;82,4;3,1;
2007-06-09;,4;25,7;20,9;13,5;77;1,4;
2007-06-10;1;27,6;22,1;18,1;68,4;2;
2007-06-11;null;27,9;null;19,1;57,6;2,7;
2007-06-12;0;27,9;21,5;18;60,5;1,6;
2007-06-13;0;26,7;22;18,7;61;2,5;
2007-06-14;0;26,8;22,1;19,1;59,6;1,9;
2007-06-15;0;22,1;17,2;19,2;77;4,5;
2007-06-16;13,8;11,5;7,6;5;82,3;3,2;
2007-06-17;0;14;9,4;4,7;85,2;1,8;
2007-06-18;0;15,4;11,3;7,7;87,2;3,5;
2007-06-19;,6;27,6;18,8;9,1;74,8;2,3;
2007-06-20;0;28,4;22,2;17,2;61,4;2,5;
2007-06-21;0;27,5;22,1;18,9;57,4;2,1;
2007-06-22;0;27,2;21,2;18,2;60,6;2,2;
2007-06-23;0;21,5;18,8;18,8;68,7;2,7;
2007-06-24;9,8;13,9;9,5;8,6;76,8;3,8;
2007-06-25;0;9;5,8;2,8;66,3;4,4;
2007-06-26;4,2;14,7;11,3;4,3;94,8;1,8;
2007-06-27;4,4;13,9;9,3;7,8;97,5;3,4;
2007-06-28;1,4;13,1;9,6;7,5;91,3;1,3;
2007-06-29;0;16,7;11;4;85;,9;
2007-06-30;0;16,1;9,3;3,4;91;1,2;
2007-07-01;,2;14,4;7,4;3,3;97,1;2,2;
2007-07-02;,2;21,6;10,4;2,6;85,5;1,9;
2007-07-03;0;23,9;15,3;6,7;72,7;1,8;
2007-07-04;0;26,4;19,6;12,3;60;2,2;
2007-07-05;0;27,5;20,6;16,1;54,1;2,6;
2007-07-06;0;25,2;22,4;19,7;53;2,7;
2007-07-07;3,2;22,2;19,4;17,1;74,2;1,9;
2007-07-08;59,4;20,7;12,9;10,9;91,9;5,9;
2007-07-09;1,6;12,4;11,8;10,7;93,9;5,4;
2007-07-10;26,4;12,1;9,6;9;97,3;3,2;
2007-07-11;2,2;7,9;4,3;2,4;82,3;2,8;
2007-07-12;0;12,4;5,5;-,6;86;3,9;
2007-07-13;,4;15,6;11,8;2,7;94;2,4;
2007-07-14;,6;15,9;13,1;11,6;90,5;3,2;
2007-07-15;0;13,1;7,6;2,7;75,4;1,6;
2007-07-16;0;17,5;8,8;2,1;72;3,5;
2007-07-17;0;14,4;10,8;5,5;94,5;2,9;
2007-07-18;7;14,3;10,9;8,2;87,5;3,1;
2007-07-19;0;17,8;10,3;4,2;79,9;1,1;
2007-07-20;0;19,3;12,8;5,5;73,1;2;
