Nome: FREDERICO WESTPHALEN
Codigo Estacao: A854
Latitude: -27.39555555
Longitude: -53.42944443
Altitude: 489.42
Situacao: Operante
Data Inicial: 2007-12-13
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-12-13;null;null;null;null;null;null;
2007-12-14;null;30,6;23,6;null;59;1,7;
2007-12-15;0;32,2;24,2;16,8;61,7;1,1;
2007-12-16;0;31,9;24,6;20,6;61,5;2,9;
2007-12-17;,8;31,5;23,7;17,7;69,4;3,1;
2007-12-18;0;28,6;22,4;20;75,9;2;
2007-12-19;1,4;28,8;21,6;15,4;71,1;1,6;
2007-12-20;0;30,3;23,2;17,4;53,2;1,9;
2007-12-21;0;31,7;24,4;17,8;49,2;2;
2007-12-22;0;32;24,1;16,8;63,4;1,3;
2007-12-23;2;34;25,5;18,5;56,2;1,8;
2007-12-24;1,4;30,6;24,3;19,8;66,2;2,4;
2007-12-25;11,6;29,3;22,2;18;80,3;1,9;
2007-12-26;0;31,9;24,3;19;71,6;2,4;
2007-12-27;,2;30,1;23,7;18,4;75,2;1,7;
2007-12-28;37;30,4;23,3;19,7;85,7;2;
2007-12-29;20,6;27;22,7;20,1;91;1,3;
2007-12-30;76,4;22,4;20,2;18,7;94,5;1,8;
2007-12-31;10,6;29,8;23,1;16,7;77,8;1,3;
2008-01-01;0;32,4;25,1;17,5;71,9;1;
2008-01-02;0;31,9;25,1;19,3;72,7;2;
2008-01-03;,8;30,9;23,5;19,9;82,8;2,1;
2008-01-04;15,4;30,2;23,6;19,7;84,8;1,4;
2008-01-05;0;28,8;23,5;19,2;75;2,9;
2008-01-06;0;30,1;23,8;18,3;66,7;2,2;
2008-01-07;0;31,3;24,1;17,6;64,1;2;
2008-01-08;0;31,8;24,6;15,3;56;1,5;
2008-01-09;0;32,6;24,7;16,3;58,5;1,2;
2008-01-10;0;33,3;25,6;18,5;60;1,5;
2008-01-11;0;29;24,1;19,8;79,3;2,2;
2008-01-12;2,2;28,7;23,2;19,7;76,6;4;
2008-01-13;0;30,8;24,7;19,2;69,9;2,5;
2008-01-14;0;32;25,5;19,6;65,1;2,3;
2008-01-15;0;31,7;25,6;20,2;61;2;
2008-01-16;0;31,3;25,3;19,5;68,5;2;
2008-01-17;0;32,1;25,8;21,1;73,3;1,1;
2008-01-18;0;30,8;25,8;21,1;76,3;2,3;
2008-01-19;9;25;21,3;19,9;89,8;2,5;
2008-01-20;,6;26,9;21;17,1;71,6;4,3;
2008-01-21;0;28;21,7;15,2;66,5;3,9;
2008-01-22;0;29,1;22,8;17,3;62,7;2,6;
2008-01-23;0;29,5;22,9;16,5;61,1;2,7;
2008-01-24;0;29,4;23,3;17,9;61,7;3;
2008-01-25;0;30;23,8;19;65,6;2,4;
2008-01-26;0;27,4;22,8;18,3;70,7;2,7;
2008-01-27;0;27,2;22,3;18,8;64,7;3,2;
2008-01-28;0;28,9;22,5;18,5;62,9;2,8;
2008-01-29;0;30,7;24,1;19;62;2,1;
