Nome: DOM PEDRITO
Codigo Estacao: A881
Latitude: -31.0025
Longitude: -54.61805554
Altitude: 150
Situacao: Operante
Data Inicial: 2010-04-22
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-04-22;null;null;null;null;null;null;
2010-04-23;null;null;null;null;null;null;
2010-04-24;null;null;null;null;null;null;
2010-04-25;null;null;null;null;null;null;
2010-04-26;null;null;null;null;null;null;
2010-04-27;null;null;null;null;null;null;
2010-04-28;null;21,9;14;7,8;64,1;2,1;
2010-04-29;0;22,4;14,5;6,5;66,2;1,7;
2010-04-30;0;23,1;14,8;7,4;71,2;1,4;
2010-05-01;0;24,9;16,1;7,1;64,5;2,2;
2010-05-02;0;24,6;17,4;10,1;58;2,1;
2010-05-03;0;22,9;16,8;11,9;76,2;1,8;
2010-05-04;9,4;20;17,1;14,4;88,7;2,6;
2010-05-05;,2;20,5;14,4;10,3;92;1,4;
2010-05-06;0;22,6;17;12,2;83,5;2,9;
2010-05-07;0;18;13,4;11,7;77,1;5,1;
2010-05-08;0;17,1;11,5;6;70,5;4,2;
2010-05-09;0;18,2;11,5;5,6;73,6;3,6;
2010-05-10;0;18,2;11,9;6,7;77,4;3,2;
2010-05-11;,2;18,7;13,1;8,7;84,7;4,1;
2010-05-12;,6;21,2;14,7;10,7;84,3;4,1;
2010-05-13;0;22,1;14,2;8,5;83,3;1,8;
2010-05-14;0;23,9;16;9;78,5;3;
2010-05-15;0;24,7;18,9;14,2;74,9;3;
2010-05-16;0;19,3;13,7;11,3;75,4;5,5;
2010-05-17;0;18,6;12,8;8,8;76,1;3,9;
2010-05-18;13;16,5;15,4;11;92,4;4,3;
2010-05-19;28,8;16;13,8;11,9;94;3,5;
2010-05-20;,8;21,5;17,9;12;90,8;2,7;
2010-05-21;,6;22,9;18,9;16,2;88;2,4;
2010-05-22;0;24,4;19;15,5;80;3,1;
2010-05-23;0;23,1;19,4;16,8;77,7;3,6;
2010-05-24;4,4;19,7;18,2;17,5;89,6;4;
2010-05-25;14,4;16,6;14,9;12,4;89,6;3,5;
2010-05-26;,2;16,2;13,1;11,1;90,9;1,7;
2010-05-27;0;21,7;15,8;10,7;87,8;3,5;
2010-05-28;0;20,4;17,3;15,1;85,3;3,6;
2010-05-29;4;17,9;16,2;15,2;91,3;2,1;
2010-05-30;7;17,2;15,4;13,6;89,4;6,3;
2010-05-31;3,2;13,5;10,5;7,4;73,8;4,3;
2010-06-01;0;17,3;11,1;6,1;75,8;2,5;
2010-06-02;0;19,9;13,3;8,3;78,5;2,6;
2010-06-03;0;20,6;14,5;9,1;76,8;2,7;
2010-06-04;0;19,7;15,6;12,2;85;2,2;
2010-06-05;,6;17,6;12,7;7,7;78,1;3,8;
2010-06-06;0;20,4;12,2;6,5;73,4;3;
2010-06-07;0;18,7;12,4;6,3;76,6;1,4;
2010-06-08;0;16,3;10,9;6,3;80,1;3,7;
2010-06-09;0;13,3;7,9;3,1;78,8;4,3;
2010-06-10;0;15,3;8;3,5;89,1;3,9;
2010-06-11;0;19;12,5;6,1;78;3,7;
2010-06-12;0;17,6;14,4;9,7;71,5;4,7;
2010-06-13;7,2;18,9;15,1;13;80,1;4,5;
2010-06-14;0;19,4;16,4;13,9;73,8;5,4;
2010-06-15;0;22,6;17,7;13,1;80,2;2,4;
2010-06-16;1,8;18,2;15,6;14,3;91,4;4,2;
2010-06-17;8;16,7;14,8;13;87,1;4,2;
2010-06-18;0;20;15,8;11,8;85,5;2,6;
2010-06-19;,4;18,6;16,1;14,3;89;3,4;
2010-06-20;,2;15,7;10,2;5,9;75,5;2,3;
2010-06-21;0;12,9;8,1;4,3;73,2;2,9;
2010-06-22;0;15,8;7,8;1,1;70,6;1,5;
2010-06-23;0;20;13,1;3,4;56,8;4,7;
2010-06-24;0;20,7;17,5;10;77,7;5,1;
2010-06-25;18;16;12,2;9,8;80,7;4,7;
2010-06-26;2;16,9;13,2;9,6;87,8;3,4;
2010-06-27;4,6;20,1;15,9;13;93,8;4,6;
2010-06-28;3;15,4;11,7;9,3;84,5;3,4;
2010-06-29;,2;14,5;10,3;5,4;91,4;2,2;
2010-06-30;0;16,6;14,7;7,4;95,4;1,7;
2010-07-01;4;22,3;17,2;13,3;90,3;3,4;
2010-07-02;0;24,6;19,5;15,3;80;3,3;
2010-07-03;0;25,1;19,3;14,6;75,6;3,1;
2010-07-04;0;25,2;19;12,4;69,7;3;
2010-07-05;0;24,7;19,8;14,9;69,1;5,5;
2010-07-06;0;24,1;20,4;17,5;68,6;5,1;
2010-07-07;0;23,2;18,9;17,8;75;5,2;
2010-07-08;,2;15,8;10,7;4,7;76,4;2,2;
2010-07-09;,8;16,8;11,4;7,1;81;2;
2010-07-10;0;17,2;10,5;4,6;81,8;2,1;
2010-07-11;0;19,9;13,7;6,7;91,7;3,7;
2010-07-12;24,6;18,1;10,8;8;80,8;6,2;
2010-07-13;0;11,6;5,5;-,3;64,6;3,9;
2010-07-14;0;11,6;5,8;,7;72,9;3;
2010-07-15;0;10,6;5,3;,4;78,9;2,8;
2010-07-16;0;9,1;4,4;-,1;78,3;4;
2010-07-17;,6;8,8;5,9;1,7;91,9;5,4;
2010-07-18;33,6;14,6;12,7;5;95,4;2,7;
2010-07-19;36,6;14;8,5;6,8;91,7;6,3;
2010-07-20;,2;13,7;8,9;5,2;76,5;5,2;
2010-07-21;8,2;10;9,1;6,4;92,4;3,5;
2010-07-22;18,6;9,8;6,1;1,6;88,9;3;
2010-07-23;,2;12,3;6,3;1,5;82,3;2;
2010-07-24;0;15,2;9,2;3,6;81,6;3;
2010-07-25;67,8;15,7;12,2;7,2;91;4;
2010-07-26;9,2;15,4;9,1;3,6;75,8;3,8;
2010-07-27;0;16,9;9,9;4,3;70;2,4;
2010-07-28;0;20,5;13,5;7,6;65,2;3;
2010-07-29;0;19,4;13;7,5;76,8;1,9;
2010-07-30;0;23;17,1;10,1;75,7;4,4;
2010-07-31;24,6;21,8;14,2;12,2;78,1;5,5;
2010-08-01;0;12,8;7,2;2,7;72;2,9;
2010-08-02;0;9,8;5,2;0;71,7;3,6;
2010-08-03;0;9,7;null;,5;80,6;null;
2010-08-04;null;10,5;4,6;,3;83,1;4,1;
2010-08-05;0;12,7;8,1;2,8;88;3,3;
2010-08-06;,2;15,9;9;3,1;79,6;2,6;
2010-08-07;0;15;9,1;4,5;86,6;2,7;
2010-08-08;0;11,6;8,6;6,6;90,3;3,6;
2010-08-09;,2;15,4;8,4;2,5;77,4;2,6;
2010-08-10;0;17,2;9,4;4,3;65,7;3,1;
2010-08-11;0;21,4;11,7;3,9;74,2;3;
2010-08-12;0;18,2;16,7;9,2;78,4;4,5;
2010-08-13;3,6;17;10,1;8,6;85,7;7,2;
2010-08-14;,4;11;6,6;2;83,5;3,8;
2010-08-15;0;12;7,7;4,1;84,6;3,6;
2010-08-16;0;18,3;11,9;6,2;75,3;3,9;
2010-08-17;0;20,3;14,6;8,3;70;3,7;
2010-08-18;0;22,9;16,6;12,1;68,1;4,9;
2010-08-19;0;18,8;14,1;10,7;85,5;1,8;
2010-08-20;3;18,7;13,5;7,3;66,1;2,4;
2010-08-21;0;23,5;14,7;6,3;66,6;1,8;
2010-08-22;0;27,1;19,9;11,9;65,4;4,5;
2010-08-23;0;28,6;22;17,6;57;5,8;
2010-08-24;0;23;16,5;15,3;80,1;4,9;
2010-08-25;0;14,6;12,6;10,3;91;4,5;
2010-08-26;0;17,9;15,5;11,4;87,8;3,7;
2010-08-27;0;20,6;16,7;12,5;84,8;2,5;
2010-08-28;,2;23,3;17,6;12,7;85,4;2,9;
2010-08-29;6,6;22,3;18,5;15,5;78,9;5,6;
2010-08-30;0;16,1;12,5;8,4;82;5,3;
2010-08-31;3,4;24,3;18,5;11,7;79;3,8;
2010-09-01;6,8;20,7;18;16,5;91,5;3,2;
2010-09-02;21,8;18,4;17,3;15,3;95,4;3,4;
2010-09-03;18;18;16;15,7;93,9;4;
2010-09-04;11,6;12,2;9,9;7,5;86;7,1;
2010-09-05;,2;19,3;13,1;7,8;79;2,3;
2010-09-06;0;20,8;14,8;8,4;71,3;2,2;
2010-09-07;0;21,7;13,9;7;67,3;3;
2010-09-08;0;23;15,5;9,2;74,6;2,5;
2010-09-09;0;24,7;17,5;10,4;72,4;3,2;
2010-09-10;0;24,6;18,8;14;69,5;3,9;
2010-09-11;18,6;20,4;17,1;15,7;86,6;2,9;
2010-09-12;9,6;16,6;13,7;10,9;89,9;4,9;
2010-09-13;8,6;19,2;17,1;13,5;91,5;5,6;
2010-09-14;24;17,2;14,3;12,8;83;7;
2010-09-15;0;20,1;13,2;7,2;73,9;1,7;
2010-09-16;,2;22,9;15,7;9,6;65,7;2,7;
2010-09-17;0;19,4;13,7;8;65,7;4,2;
2010-09-18;0;18,6;11,6;4,8;67,5;3,9;
2010-09-19;0;23,5;15,3;7,8;65,3;2,8;
2010-09-20;0;25,5;18,1;11;71,7;2,5;
2010-09-21;0;22,2;18,3;14,4;83,3;2,1;
2010-09-22;0;25,2;18,4;13,8;85;2,3;
2010-09-23;0;20;17;15,5;89,1;4,6;
2010-09-24;0;21,8;16,4;11,6;76,6;3,5;
2010-09-25;0;23,4;16,4;11;77,2;2,8;
2010-09-26;0;23;16,7;10,7;74,9;3,4;
2010-09-27;0;21,4;16,8;12,9;84,5;3,8;
2010-09-28;0;24,3;18,6;15,3;76,9;3,5;
2010-09-29;0;21,3;16,4;11,3;72,3;4,3;
2010-09-30;0;20,9;14,8;9,2;67,4;3,2;
2010-10-01;0;20,3;13,4;7,5;70,1;4,7;
2010-10-02;0;17,7;12,8;8,8;64,8;4,6;
2010-10-03;0;20,5;13,4;5,4;56,3;2,1;
2010-10-04;0;23,1;15,3;7;56,9;1,9;
2010-10-05;0;24,7;16,9;7,8;65,9;1,3;
2010-10-06;0;27,8;19,1;11;67,7;2;
2010-10-07;,2;21,3;17;15,9;84,1;3,9;
2010-10-08;9,2;20,8;15,4;10,5;78,3;4,6;
2010-10-09;0;21,8;16,3;11,6;78,2;3,3;
2010-10-10;,2;21,5;14,8;8,9;72,5;3,6;
2010-10-11;0;22,4;15,1;7,7;67,4;3,7;
2010-10-12;0;23,8;16,3;8;64,1;3,7;
2010-10-13;0;26,3;18,4;11,6;62,8;4;
2010-10-14;6,8;20,5;17,8;15,4;84;2,4;
2010-10-15;1;26,2;20,3;15,9;82,4;2,7;
2010-10-16;0;22,2;17,2;13,7;78,8;5,6;
2010-10-17;0;21,2;16,4;13,1;65,5;4,4;
2010-10-18;0;21,6;15;7;64,6;2,5;
2010-10-19;0;25;17,2;9,6;69,3;1,7;
2010-10-20;0;27,6;19,4;12;59,1;2,3;
2010-10-21;0;30,3;21,8;12,4;49,5;2,8;
2010-10-22;0;27,7;21,1;16,2;69,8;2,7;
2010-10-23;0;23,2;17,2;12,3;73,8;5;
2010-10-24;0;23,5;17,1;11,3;69,3;3,6;
2010-10-25;0;22,8;16,7;10,4;67,4;3,8;
2010-10-26;0;22;15,6;8,5;60,1;4;
2010-10-27;0;23,6;16,2;9,6;67,8;2,8;
2010-10-28;0;24,8;17,8;11,6;65,6;3;
2010-10-29;0;23,9;17,2;11,7;71;4,2;
2010-10-30;,4;24,3;18,5;14,8;60,6;5;
2010-10-31;0;26,3;17,9;9,6;43;6,8;
2010-11-01;0;24,7;17,6;10,8;58,5;4,4;
2010-11-02;0;27,7;18,8;10,4;55,9;2;
2010-11-03;0;31,5;22;13,8;54,5;3,5;
2010-11-04;0;32,3;24,5;16,9;51,8;2,3;
2010-11-05;2,2;26;19,3;12,9;63,7;4,9;
2010-11-06;0;26,6;19,5;12,3;59,1;2,8;
2010-11-07;0;32,5;23,7;14,7;46,4;4,2;
2010-11-08;0;34,8;26,8;18,3;41,5;4,6;
2010-11-09;15,6;29,1;15,2;12,7;84,2;8,1;
2010-11-10;6,8;21,8;14;6,7;67,2;4,4;
2010-11-11;0;20,3;13,9;7,5;64,5;3,6;
2010-11-12;0;22,1;15;7,7;64,8;3,3;
2010-11-13;0;26,4;18,1;9,6;61,8;3,8;
2010-11-14;0;26,4;19,3;12,4;67,9;3,9;
2010-11-15;0;26,8;20;15,3;71,8;4,7;
2010-11-16;0;25,3;19;14,6;70,8;4,8;
2010-11-17;0;24,2;18,3;13,1;68,5;3,3;
2010-11-18;0;26,2;19,3;12;61,5;3,2;
2010-11-19;0;28,1;20,9;13,1;52,3;2,7;
2010-11-20;0;28,1;22,1;17;49,3;4;
2010-11-21;0;28,7;21,4;14,2;62,1;4,2;
2010-11-22;0;28,4;22,4;16,5;63,7;4,3;
2010-11-23;0;27,3;20,7;14,4;67,5;4,4;
2010-11-24;0;24,2;19,9;17;71,7;4,7;
2010-11-25;0;29;20,6;13,2;67,9;3,8;
2010-11-26;0;30,6;21,7;12,5;61,6;2,1;
2010-11-27;0;34;24,3;15,5;50,5;2,8;
2010-11-28;0;26,6;20,2;18,9;76;6,2;
2010-11-29;,2;25,2;18,8;13,7;66,4;4,5;
2010-11-30;0;29,5;21;11,5;49,8;2,7;
2010-12-01;0;32,9;24,3;16,1;30,8;3,6;
2010-12-02;0;33,2;24,4;16,9;53,3;3,5;
2010-12-03;8,6;30,2;25,1;20,6;57,9;4,8;
2010-12-04;0;31,8;23,3;13,5;39,5;3,6;
2010-12-05;0;30,6;23;16;58,6;4,5;
2010-12-06;0;31,7;22,8;12,7;47,8;2,9;
2010-12-07;0;34,6;26,2;17,1;53,1;2,7;
2010-12-08;3;31,3;25,7;21,3;54,5;5,6;
2010-12-09;0;31,2;21,7;12,2;42;3,8;
2010-12-10;0;36,2;26,8;17,1;36,1;4,9;
2010-12-11;21,4;31,4;22,2;19,4;83,3;4,6;
2010-12-12;,6;22,8;17,4;19;89;5,3;
2010-12-13;9,6;24,3;16,9;10,2;55,1;4,8;
2010-12-14;0;28,7;20,8;11,4;45,7;1,6;
2010-12-15;0;32;24,3;16,5;40,1;4;
2010-12-16;0;31,9;24,2;16,8;50,5;4,1;
2010-12-17;0;33,5;25,8;18,1;58,9;2,3;
2010-12-18;0;35,3;26,7;21,3;60,2;3,7;
2010-12-19;0;27,4;22,7;19,7;78,3;4,5;
2010-12-20;6,6;28,2;23,8;21,4;83,3;2,5;
2010-12-21;,2;33,2;25,6;18,6;62,9;3;
2010-12-22;0;34,3;25,9;17,5;58,5;2,8;
2010-12-23;0;33,5;26,1;17,8;60,3;3,6;
2010-12-24;0;29,2;24,3;22,3;78,7;3,6;
2010-12-25;4;33,7;26,7;21,1;64,6;3,3;
2010-12-26;0;35;27,6;18,5;44,4;2,8;
2010-12-27;0;34,2;26,4;17,3;44,6;3,4;
2010-12-28;0;32,7;24;15,1;57,7;4,2;
2010-12-29;0;33,7;25;17,9;61,8;5,3;
2010-12-30;0;33;23,6;14,9;59,6;5,3;
2010-12-31;0;33,9;25,6;18;56,7;4;
2011-01-01;0;31,8;24,9;18,8;62;4,6;
2011-01-02;0;32,9;24,3;20;68,5;4,8;
2011-01-03;22,6;27,5;22,9;20,8;78,1;4,5;
2011-01-04;9,8;30;24,1;19,7;76,1;3,1;
