Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Pane
Data Inicial: 2012-10-03
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-10-03;null;null;null;null;null;null;
2012-10-04;null;null;null;null;null;null;
2012-10-05;null;null;null;null;null;null;
2012-10-06;null;null;null;null;null;null;
2012-10-07;null;null;null;null;null;null;
2012-10-08;null;null;null;null;79,5;null;
2012-10-09;1,2;23,2;20,8;19,7;91,3;1,5;
2012-10-10;11,4;21,4;18,8;19,4;93;2,4;
2012-10-11;11,6;20,8;16,5;13,9;80,6;3,1;
2012-10-12;0;23,8;17,5;12,6;74;2,7;
2012-10-13;0;25,5;17,7;10;71,2;2,1;
2012-10-14;0;28,1;19,5;11,8;65,1;1,9;
2012-10-15;0;29,1;21,2;14,5;58,5;1,4;
2012-10-16;0;29,9;24;17,6;61,6;2,3;
2012-10-17;0;26,7;21,7;17,2;61;3,3;
2012-10-18;0;25,4;18,8;12,1;65,3;1,5;
2012-10-19;0;29,4;19,1;9,4;71,8;1,6;
2012-10-20;0;32,3;22,9;14,8;71,2;1,4;
2012-10-21;null;28,9;null;19,4;82,3;1,2;
2012-10-22;null;null;null;17,1;null;null;
2012-10-23;null;null;null;null;53;null;
2012-10-24;null;24,9;null;11,9;57,1;null;
2012-10-25;null;null;null;null;53,9;null;
2012-10-26;null;29,8;null;12,6;76;1,2;
2012-10-27;,2;30,3;23,9;20,2;82,1;1,2;
2012-10-28;1,2;26,2;22,5;19,3;85,3;1,5;
2012-10-29;0;28;22,1;17,4;87,6;1,5;
2012-10-30;28;29;23,6;19,4;83,8;2,4;
2012-10-31;0;24,4;20,9;18,3;75,8;1,6;
2012-11-01;0;26,7;20,5;14,9;72,3;2,1;
2012-11-02;0;28,1;19,6;11,9;73,5;2;
2012-11-03;0;29,3;19,8;12;75,7;1,7;
2012-11-04;,2;28,9;20,6;14,8;77,7;1,5;
