Nome: CAMPO BOM
Codigo Estacao: A884
Latitude: -29.674293
Longitude: -51.064042
Altitude: 23.35
Situacao: Operante
Data Inicial: 2013-11-28
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2013-11-28;null;null;null;null;null;null;
2013-11-29;null;null;null;null;null;null;
2013-11-30;null;null;null;null;null;null;
2013-12-01;null;null;null;null;null;null;
2013-12-02;null;null;null;null;null;null;
2013-12-03;null;31,7;23,4;18,9;74,1;1,8;
2013-12-04;0;33,1;24,1;16,1;58,8;1,6;
2013-12-05;84,2;26,8;22,9;20,4;82,5;1,4;
2013-12-06;0;24,3;20;14,8;70,2;1,7;
2013-12-07;0;29,5;21;15,1;66,6;1,3;
2013-12-08;0;35,6;24,6;15,6;64,5;1,1;
2013-12-09;0;32,1;24,9;20,4;78,1;1;
2013-12-10;5,6;24,7;22,1;21,7;87,5;1,4;
2013-12-11;15,8;25,3;21,1;18,1;70,7;2,2;
2013-12-12;0;29;21,6;14,1;68;1,7;
2013-12-13;0;30,1;23,3;16,6;69,3;1,1;
2013-12-14;0;34,1;25,8;18,8;66,8;1,3;
2013-12-15;0;33,3;26;19,3;67,3;1,2;
2013-12-16;0;32,7;24,7;20,6;73,1;1,5;
2013-12-17;0;32;24,5;17,8;66,6;1,8;
2013-12-18;0;34,5;25,1;17,4;62;1,6;
2013-12-19;0;33,2;25,3;17,6;64,6;1,9;
2013-12-20;0;32,9;25,4;18,9;65,4;1,8;
2013-12-21;0;32;24,9;18,1;68,1;1,8;
2013-12-22;0;30,2;24,1;18;69,2;2,3;
2013-12-23;0;29;23,4;18,9;76,2;1,7;
2013-12-24;0;32,9;25,1;19,8;72,7;1,7;
2013-12-25;0;37,1;26,9;19,6;67,6;1,4;
2013-12-26;0;39,9;29,4;20,8;58,1;1,3;
2013-12-27;0;40,9;29,5;22,3;57,9;1,4;
2013-12-28;4;35,8;28,6;23,9;66,2;1,4;
2013-12-29;0;38,3;30,8;23,3;56,9;1,4;
2013-12-30;11,2;36,2;28,1;22,9;71,5;1,7;
2013-12-31;,4;31,8;26,9;23,5;74,7;1,5;
2014-01-01;11;34,1;27,1;22,4;75,7;1,4;
2014-01-02;1,4;33,3;27,9;23,7;72,9;1,5;
2014-01-03;9,4;29,5;22,1;22;90,6;1,3;
2014-01-04;20,8;28,1;22,4;17,2;69,8;1,8;
2014-01-05;0;32,7;24,5;17,1;63,3;1,4;
2014-01-06;0;34,5;25,9;17,7;65,1;1,5;
2014-01-07;0;37;29,3;21,2;55,9;1,3;
2014-01-08;0;31,2;28,3;25,8;58,3;2;
2014-01-09;0;34,7;26,5;19,9;70,9;1,6;
2014-01-10;0;35,1;26,2;22,6;76,2;1,2;
2014-01-11;26,2;30,7;23,4;19,7;82,9;1,1;
2014-01-12;6,4;24;22,2;20,2;87,6;1,5;
2014-01-13;0;30,2;24,8;21,2;77,1;1,5;
2014-01-14;0;30,1;24,8;22,5;80,3;1;
2014-01-15;14,2;27,1;23,1;19,7;86,2;,9;
2014-01-16;3,2;32,6;25;19,5;72,7;1,3;
2014-01-17;0;35,3;25,9;18,4;68,9;1,3;
2014-01-18;0;35,7;26,2;18,5;67,5;1;
2014-01-19;0;37,5;28,3;19,8;60,3;1,2;
2014-01-20;0;38,3;29,7;21,6;54,7;1,4;
2014-01-21;0;38,5;29,8;19,8;42,6;1,4;
2014-01-22;0;38,9;29,1;22;61,2;1,3;
2014-01-23;8,4;37,6;30,5;22,9;64,3;1,3;
2014-01-24;0;38,1;30,9;26,2;60;1,9;
2014-01-25;26,6;26,2;21,6;20,4;86,6;1,6;
2014-01-26;6,4;30,1;23,2;19,1;81;1,3;
2014-01-27;2,4;37,3;28;22,3;71,8;1,2;
2014-01-28;0;39,3;29,4;22,7;66,2;1,5;
2014-01-29;,6;39,6;30,3;23,8;62,5;1,8;
2014-01-30;0;38,7;28,7;22,8;63;1,8;
2014-01-31;0;37,1;26,4;22,4;73,3;1,4;
2014-02-01;28,8;34,8;26,2;20,9;74,4;1,5;
2014-02-02;6,8;39,3;28,9;21,7;65,6;1,4;
2014-02-03;0;38,6;30,9;24,3;60,5;1,7;
2014-02-04;0;39,1;29,6;23,8;57,9;1,4;
