Nome: TUPANCIRETA
Codigo Estacao: A886
Latitude: -29.08944444
Longitude: -53.82666666
Altitude: 462
Situacao: Operante
Data Inicial: 2016-08-10
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-08-10;null;null;null;null;null;null;
2016-08-11;null;null;null;null;null;null;
2016-08-12;1,2;20,9;13;7,7;72,8;1,7;
2016-08-13;0;23,5;14,5;7,5;67,2;1,5;
2016-08-14;0;25,3;17,2;10,5;66;1,3;
2016-08-15;0;23,2;17,9;14,3;79,8;2,1;
2016-08-16;0;25,3;19;14,8;81,3;2,2;
2016-08-17;9,4;20,1;16,1;14,2;81,3;2,2;
2016-08-18;2,4;19;12,5;5,4;50,2;2,5;
2016-08-19;0;17,1;13,4;11;61;3,5;
2016-08-20;,6;14,5;12,9;12,5;92,3;2,4;
2016-08-21;1,6;12,7;9;6,7;75,5;2,5;
2016-08-22;,2;16;8,1;2;65,9;1,3;
2016-08-23;0;19,2;11,4;4,5;57,2;1,3;
2016-08-24;0;23,4;15;7,8;62,1;2,2;
2016-08-25;0;26,6;17,8;10,9;66,3;2;
2016-08-26;0;30,5;21,6;14;67,2;2,3;
2016-08-27;0;30,1;23,5;18;71;2,7;
2016-08-28;0;23;17,8;16,7;82,9;2,4;
2016-08-29;36,8;18,3;17,2;14,9;96,1;1,7;
2016-08-30;27,8;17,9;15,3;15,1;94,7;1,8;
2016-08-31;6,4;19,5;14,6;12,3;88,7;2,4;
2016-09-01;1;20,5;14;8,2;84;1,1;
2016-09-02;0;17,4;13,4;11,9;85,6;2,5;
2016-09-03;0;12,1;10,8;9,8;93,7;2,6;
2016-09-04;16,2;15,1;12,3;10,1;93;1,9;
2016-09-05;1;15,3;13,5;10,8;95,1;1,6;
2016-09-06;24,6;11,7;9,3;7,1;83,9;3,9;
2016-09-07;0;15,1;10,6;7,7;73,4;3,8;
2016-09-08;0;18;13,2;8,7;76,8;1,5;
2016-09-09;0;22,8;14,9;8,4;71,4;1,5;
2016-09-10;0;27;18,4;11,9;66,7;1,8;
2016-09-11;0;28,1;20,4;14,3;64,3;1,7;
2016-09-12;0;28,7;21,5;14,9;67,3;2,7;
2016-09-13;14,6;25;18,5;15,3;66,5;3,7;
2016-09-14;0;17,8;12,4;8,9;66,8;4,2;
2016-09-15;0;18,8;10,9;4,5;71,3;1,5;
2016-09-16;0;23,1;14,5;7,8;63,1;1,7;
2016-09-17;0;28;18,7;11;65,3;2,1;
2016-09-18;,4;23,8;18,3;14,4;79,8;1,7;
2016-09-19;0;17;13;9,9;72,3;2,1;
2016-09-20;0;19,2;12,3;6,3;72,7;2,1;
2016-09-21;0;24,3;15,9;9,2;65,9;2,6;
2016-09-22;0;25,3;17,8;11,4;60,6;2;
2016-09-23;0;24,6;18;11,1;66;1,7;
2016-09-24;0;16,6;10,6;7;77,3;2,2;
2016-09-25;2;19,8;11,8;3,5;69;1,9;
2016-09-26;,2;23,7;14,4;7,2;60,7;2,1;
2016-09-27;0;26,1;16,9;9;50,9;2,4;
2016-09-28;0;29,7;20,2;12,9;49,4;2,4;
2016-09-29;0;20,7;15,5;11,2;61;3;
2016-09-30;0;21,2;13,8;8,1;65,9;3,5;
2016-10-01;0;25,1;16,5;10,3;66,5;3,3;
2016-10-02;0;26,1;18,3;12,2;65,2;2,9;
2016-10-03;0;26,7;19,6;13,9;64,3;2,6;
2016-10-04;0;25,1;17,9;12,9;73,7;2,5;
2016-10-05;0;24,6;16;13,2;83;2,6;
2016-10-06;30;19,2;14,5;12,2;82,9;2,9;
2016-10-07;,2;24,1;16,6;11,2;73,4;2,4;
2016-10-08;0;20,6;15,6;10,5;66,2;2,4;
2016-10-09;0;21,9;14,4;7,7;51,3;1,7;
2016-10-10;0;26,3;17,4;9,8;53;2,7;
2016-10-11;,4;28,6;20,5;14,2;61,3;1,7;
2016-10-12;0;21,8;18,7;17,7;78,5;2,4;
2016-10-13;14,2;26,3;19,6;14,8;80,1;2;
2016-10-14;0;29,3;21,6;15,4;74,5;1,8;
2016-10-15;0;25,2;19,6;17,2;88,1;2,8;
2016-10-16;30;30,2;21,2;18,8;87,2;2,9;
2016-10-17;13,8;21;19,9;19,8;90,9;2,8;
2016-10-18;93,6;18,6;17,5;16,6;95,5;2,8;
2016-10-19;68,4;22,3;19,8;16,7;95;2,5;
2016-10-20;5,4;22,2;17,2;14,5;84,5;2,8;
2016-10-21;0;21;16;12,4;75,7;2;
2016-10-22;0;25;17,3;11,3;67,5;2,8;
2016-10-23;0;31,1;22,3;15,5;71,8;2,7;
2016-10-24;0;29,6;22,7;19,3;82,3;1,8;
2016-10-25;22,2;25,1;20,8;17,9;84,3;2,4;
2016-10-26;,4;23,1;20,2;19,6;91,4;1,9;
2016-10-27;7,2;17,9;14,3;9,6;75,7;4,6;
2016-10-28;0;17,3;11,7;8,1;62;2,5;
2016-10-29;0;25,1;15,8;7,9;60,8;2,5;
2016-10-30;0;28,4;19,4;12,5;59,6;2,9;
2016-10-31;0;32,8;23,2;14,7;55,4;2,2;
2016-11-01;2,2;26,8;21;20,2;82,6;2,4;
2016-11-02;89,8;18,1;15,3;13,9;75,3;3,6;
2016-11-03;0;21,5;13,4;6,2;60,9;1,2;
2016-11-04;,2;26,9;17,7;8,8;51,4;1,3;
2016-11-05;0;31,2;23;15,7;46;2,5;
2016-11-06;0;32,2;24,1;16,8;53;2;
2016-11-07;0;32,9;25,5;18,6;49,1;2;
2016-11-08;0;30,8;23,3;20,8;63,8;2,2;
2016-11-09;54,6;22,6;19;17;91;2,9;
2016-11-10;5,2;30,5;22,7;15,5;72,6;1,6;
2016-11-11;,2;24,2;19,5;15,8;75;2;
2016-11-12;0;25,6;17,4;10,2;48,7;3,2;
2016-11-13;0;30,1;21;13,3;58;2,3;
2016-11-14;0;30,8;23,9;17,9;62,6;1,6;
2016-11-15;0;27;22,7;19,6;69;1,9;
2016-11-16;2,6;27,8;21,3;17,3;73,7;1,6;
2016-11-17;4,8;22;16,6;17,3;89,2;2,6;
2016-11-18;3,8;18,7;12,2;5;71,1;2,4;
2016-11-19;0;24,7;16,6;10,1;63,7;2,3;
2016-11-20;0;28,3;19,6;12,8;59,4;2,3;
2016-11-21;0;26,9;21,4;15,3;58,6;2;
2016-11-22;0;23,7;17,6;13,8;64,5;2;
2016-11-23;0;26,6;19,2;11,1;49;1,8;
2016-11-24;0;30,7;22,1;13;44,3;2,8;
2016-11-25;3,4;31,5;23;16,1;62,8;2,6;
2016-11-26;,2;34,6;26,7;19,2;61,4;2,1;
2016-11-27;4,6;29,8;21,6;18,1;85,9;2;
2016-11-28;37;24,9;21,3;19,5;87,3;1,7;
2016-11-29;0;25,5;20,3;14;64,2;2,5;
2016-11-30;0;26,3;19,6;13,5;55;3,1;
2016-12-01;0;30,3;22;15,5;58,6;2,7;
2016-12-02;0;29;23,8;18,5;64,7;2,1;
2016-12-03;5,2;25,5;21;20,1;86,3;2;
2016-12-04;2,6;25,4;19,8;16;77,5;2,3;
2016-12-05;0;29,9;21,7;14,3;58,6;2,1;
2016-12-06;0;30,6;24,1;17,8;55,2;2,1;
2016-12-07;0;31,4;24,6;18,3;65,6;1,3;
2016-12-08;20;27,3;21,9;18,3;75,6;2;
2016-12-09;4,8;26,4;20,9;16,5;74,4;3;
2016-12-10;0;29;22,4;18,3;77,8;2,1;
2016-12-11;0;30,4;24,3;19,6;61,4;1,7;
2016-12-12;0;32,9;25,5;17,9;53,3;2,1;
2016-12-13;0;31,4;24,3;20,6;59,5;2,5;
2016-12-14;0;23,3;17,8;12,3;58,3;2,4;
2016-12-15;0;25,6;18,1;11,9;46,9;3;
2016-12-16;0;29,3;21;14,5;53,8;3;
2016-12-17;0;31,9;23,7;17,5;64,5;2,7;
2016-12-18;,4;26,4;21,3;18,7;84;3;
2016-12-19;41;23,9;20,6;18,6;87,4;2,5;
2016-12-20;0;28,8;22,5;17;77,5;1,3;
2016-12-21;0;31,5;25,3;20,1;68,4;1,7;
2016-12-22;0;32;26,3;20,8;68,7;2;
2016-12-23;0;30,6;25,5;21,3;74,7;2,7;
2016-12-24;0;31,6;24,8;18,9;80,4;1,2;
2016-12-25;,4;33,9;27,5;21,7;68,1;2,2;
2016-12-26;0;34,1;27,1;23;72,5;2,4;
2016-12-27;,6;23,2;21,4;20,2;90,8;2,3;
2016-12-28;14;27,7;22,6;18,6;86,1;1,9;
2016-12-29;7,8;26,7;23,1;21,2;91;1,6;
2016-12-30;11,6;28,6;23,9;21;87;1,8;
2016-12-31;10,8;24,8;22,2;21,6;93,9;2,3;
2017-01-01;44;31,4;24,4;19,5;86;2;
2017-01-02;1,6;32,7;26;22,1;81,5;1,5;
2017-01-03;,2;32,7;26,1;21,1;77,9;2,4;
2017-01-04;,2;31,3;23,2;19,5;84,7;2,5;
2017-01-05;2,2;22,5;21,2;20;92,7;1,9;
2017-01-06;10,6;25,3;21,9;19,6;83,6;3;
2017-01-07;0;28,1;23,2;19,6;83,7;2,2;
2017-01-08;0;28,6;24,2;21,4;87,1;1,5;
2017-01-09;7,4;29,5;23,3;19,4;87,5;2,3;
2017-01-10;52;25,7;22;19,3;88,8;2;
2017-01-11;0;29,3;23,8;20,1;82;1,8;
2017-01-12;0;31,4;24,2;18,2;74,6;2,4;
2017-01-13;0;32,5;25,6;18,9;72,4;2,3;
2017-01-14;0;31,7;25,4;22,2;77,5;1,8;
2017-01-15;0;32,9;25,5;19,8;73,2;2,4;
2017-01-16;21,8;27,4;21,5;19;89,2;2,5;
2017-01-17;25,2;27,1;21,9;18;84;2;
2017-01-18;0;29,9;24,2;19,5;77,6;1,5;
2017-01-19;0;29,3;23,5;18,7;71,2;3;
2017-01-20;0;30,3;23,2;17,8;73,7;2,5;
2017-01-21;0;29,4;22,8;17,5;73,5;2,4;
2017-01-22;0;30,1;23,2;18,2;74,5;2,2;
2017-01-23;0;29,3;23,5;19,6;78,5;1,9;
2017-01-24;19,2;31,3;23,4;19,5;79;2,1;
