Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-07-17;null;null;null;null;null;null;
2019-07-18;null;null;null;null;null;null;
2019-07-19;null;23,4;14;8,1;85,8;1,2;
2019-07-20;0;26,3;17,8;9,8;81,3;2;
2019-07-21;0;26,5;18,8;13,2;79,3;3,2;
2019-07-22;0;20,1;17,3;16,5;87,8;3,1;
2019-07-23;42,2;17,2;15,1;14,1;97,9;2;
2019-07-24;19,8;15,8;13,7;12,2;95,8;2,9;
2019-07-25;25,4;16;14,3;12,2;93,7;4,1;
2019-07-26;34,2;18,1;15,4;13,9;84,8;3,7;
2019-07-27;,6;15,1;12,2;10,2;79,8;3,4;
2019-07-28;0;15,6;10,2;4,8;88,6;2,1;
2019-07-29;0;17,2;14,3;7,7;91,6;1,8;
2019-07-30;2,6;17,4;14,8;14,1;84,3;3;
2019-07-31;0;23,1;13,4;6,4;80,2;2,3;
2019-08-01;0;22,3;13,8;10,8;90,5;3,3;
2019-08-02;21,8;14,6;11,3;8,5;61,5;4,7;
2019-08-03;0;14,4;10;7,4;65,6;5,1;
2019-08-04;0;14,3;8,1;3,6;73,8;2,1;
2019-08-05;0;18,5;9,8;3,4;82,4;2,5;
2019-08-06;0;25;14,4;6,5;82,8;2,6;
2019-08-07;0;27;18,3;12;80,5;1,8;
2019-08-08;0;19;14,6;13,5;94,6;3,1;
2019-08-09;26,8;18,2;15,8;13,1;96,8;2,6;
2019-08-10;18,4;18,7;14,2;12,8;85,4;3,8;
2019-08-11;0;16,3;11,2;5,6;84,4;2,7;
2019-08-12;null;null;null;null;89;null;
2019-08-13;1,2;12,5;8,8;6,4;70,2;6,5;
2019-08-14;0;13,4;7,4;2,6;78;3,3;
2019-08-15;0;18,7;10,9;4,8;83,4;2,6;
2019-08-16;0;20,6;13,3;7;84,8;2;
2019-08-17;0;28,3;20,4;10,7;82,3;3,1;
2019-08-18;0;15,9;11,7;9,9;78,8;5,1;
2019-08-19;0;12,8;8,2;4,6;73,8;3,8;
2019-08-20;0;12,1;8,1;4,4;79,6;3;
2019-08-21;0;12,9;9,6;7,5;81,2;2,5;
2019-08-22;0;15,4;8,5;2,2;92,2;1,9;
2019-08-23;0;16,4;10,9;7,6;93,6;2,8;
2019-08-24;0;18,6;10,8;5;90,4;2,2;
2019-08-25;0;18,7;15,4;7,9;77,9;5,8;
2019-08-26;0;19,6;15,7;13,4;86,3;2,2;
2019-08-27;1,2;23,1;14,9;9,5;90,3;1,8;
2019-08-28;0;22,1;15,8;11,8;92;3;
2019-08-29;0;31,9;22,1;12,8;71,7;2,6;
2019-08-30;0;25;16,6;15,7;92,8;3,1;
2019-08-31;30,4;18,2;14,8;12,9;86;3,3;
2019-09-01;,2;18,4;12,6;7,4;71,7;2,5;
2019-09-02;0;18,4;11;4,3;76,4;1,6;
2019-09-03;0;13,7;10,4;7,6;69,8;2,8;
2019-09-04;0;14,7;8,8;4,7;59,5;4,1;
2019-09-05;0;14,5;8,7;4;76,8;2,9;
2019-09-06;0;17,9;14,1;8,8;85,4;5,7;
2019-09-07;8;17,8;16,2;14,9;95,1;4,2;
2019-09-08;32,8;20,2;18,2;15,9;null;2,9;
2019-09-09;16,4;31,2;21,1;16,2;null;3,8;
2019-09-10;5,8;27,3;14,8;13,8;94,1;2,9;
2019-09-11;39,4;15,6;14,7;12,7;97,1;3;
2019-09-12;30,2;18,6;15,5;14,8;94,6;3,6;
2019-09-13;0;17,7;13,3;10,1;91,2;2;
2019-09-14;0;18,4;14,8;8,6;null;4,3;
2019-09-15;0;25,6;19,1;15,2;null;2,7;
2019-09-16;,6;19,7;16,2;16,1;null;3,5;
2019-09-17;8,8;18,3;13,7;9,2;null;2,6;
2019-09-18;0;19,9;14,2;8;null;2,7;
2019-09-19;0;20,6;15,3;10,6;null;2,6;
2019-09-20;0;16,3;12,9;11,1;null;3,5;
2019-09-21;0;20,3;11,3;2,1;82,3;1,5;
2019-09-22;0;17,7;12,7;8,6;null;3,5;
2019-09-23;0;18,6;11,4;3,8;null;2,8;
2019-09-24;0;21,3;15,3;8,8;null;2;
2019-09-25;0;21,8;16;11;null;1,8;
2019-09-26;0;25,8;18,1;14;null;2,7;
