Nome: SAO VICENTE DO SUL
Codigo Estacao: A889
Latitude: -29.70222222
Longitude: -54.69444444
Altitude: 134
Situacao: Operante
Data Inicial: 2016-04-05
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-04-05;null;null;null;null;null;null;
2016-04-06;null;null;null;null;77,2;null;
2016-04-07;18,8;28,4;23,6;19,6;88,4;2;
2016-04-08;0;25,6;22;21,7;94,6;3,6;
2016-04-09;28,6;27;21,7;19,2;92,6;2,4;
2016-04-10;,2;26,5;22,6;20,3;89,5;3,9;
2016-04-11;42,8;26,7;22,3;20,3;87,2;4,1;
2016-04-12;,2;24,7;21,9;20,3;85,4;5,5;
2016-04-13;0;24,8;20,7;19,7;88,8;3,7;
2016-04-14;3;27,3;21,3;17,1;86,9;1,7;
2016-04-15;,8;33,9;26,4;19,7;73,5;3;
2016-04-16;0;34,5;29,4;25,9;59,4;3,6;
2016-04-17;0;35;29,2;24,3;59,3;2,7;
2016-04-18;1,2;28,6;25;24,1;75,6;3;
2016-04-19;2,2;33,8;26,1;21,6;72;4;
2016-04-20;0;25,5;21,7;18,7;85,1;2,7;
2016-04-21;6,4;24,8;21,2;19,2;85,5;3;
2016-04-22;2,8;22,4;18;13,6;84,2;5,2;
2016-04-23;2;28,1;22,6;16,9;83,2;2,4;
2016-04-24;,8;26,5;22;22,5;88,6;3,8;
2016-04-25;121;20,7;18,9;18,5;92,7;4;
2016-04-26;10;15,1;12,8;10,6;80,4;4,7;
2016-04-27;2,6;14,4;10,1;6,4;72,9;3;
2016-04-28;0;14,8;10,3;5,5;68;1,6;
2016-04-29;0;15,2;10,1;6;77,2;1,3;
2016-04-30;0;15,4;10,5;7;75,3;2,4;
2016-05-01;0;19,3;10,6;3,2;77,2;1,3;
2016-05-02;0;23,1;13,7;6,7;74,5;1,9;
2016-05-03;0;21,3;15,4;9,7;73,8;3,1;
2016-05-04;0;19,1;13,2;8,7;85,1;2,1;
2016-05-05;0;16,3;12,2;8;92,5;3,2;
2016-05-06;0;17,4;14,1;11,4;85,5;5,8;
2016-05-07;0;21;16,5;12,9;85,4;4,3;
2016-05-08;0;18,4;16,7;15,2;90,6;4,9;
2016-05-09;19,6;20,8;17,8;16,2;91,9;2,4;
2016-05-10;0;22,1;18,3;16;88,2;3;
2016-05-11;,2;19,5;16,7;14,6;84,8;4,4;
2016-05-12;0;16,4;13,2;11,2;81,1;4,7;
2016-05-13;0;14,8;10,9;6,5;89,3;3,3;
2016-05-14;0;21,6;15,9;9,5;88,8;2,6;
2016-05-15;12,6;21,2;18,5;14,8;88,1;4,1;
2016-05-16;29;16,5;13,1;10,6;80,2;2,5;
2016-05-17;0;14,7;10,1;5,8;76,5;1,9;
2016-05-18;0;15,4;10,3;5,9;75,5;1,6;
2016-05-19;0;15,6;9,6;4,1;83,8;3,5;
2016-05-20;0;12,7;10,2;7,4;92,9;3,7;
2016-05-21;4,4;15,3;12,6;9,1;88,4;2,7;
2016-05-22;1;15,9;13;11;87,5;2,4;
2016-05-23;,2;14,3;9,5;5;82,9;1,8;
2016-05-24;,2;16,7;9,4;3,9;89,3;3;
2016-05-25;0;21,1;13,6;5,9;84,8;3;
2016-05-26;0;20,1;16;10,3;84,2;2,5;
2016-05-27;0;15,8;12,9;10,9;89,1;3,4;
2016-05-28;0;18,2;14,3;10,7;89;4,5;
2016-05-29;25,8;17,8;15,7;13,3;94,6;2,3;
2016-05-30;6,8;18,1;15,4;13,9;84;3,2;
2016-05-31;,2;17,9;14,1;12,9;83;2,6;
2016-06-01;0;18;12,5;8,3;82;1,5;
2016-06-02;0;18,2;11,6;7,2;80,3;2,3;
2016-06-03;0;13,8;10;6,8;83,4;1,7;
2016-06-04;0;14,3;8,7;3,9;79,7;1,7;
2016-06-05;0;13,7;8,9;4,9;84,7;2,1;
2016-06-06;0;11,4;6,9;1,9;89,4;1,4;
2016-06-07;0;16,5;9,4;3,6;81;3,2;
2016-06-08;0;14,8;9,4;4,1;66,3;2,6;
2016-06-09;0;15,5;8;1,4;65,5;1,6;
2016-06-10;0;12,8;7,9;3,6;68,8;2,6;
2016-06-11;0;12,2;5,9;,4;74,1;2,6;
2016-06-12;0;14,9;6,9;,6;70,1;1,8;
2016-06-13;0;16,7;7,6;-,2;75,5;2,4;
2016-06-14;0;19,6;11,2;3,6;73,8;2,1;
2016-06-15;0;21,1;12,9;7,1;76,9;1,3;
2016-06-16;0;18,5;13,2;9;81,8;1,4;
2016-06-17;0;14,6;9;5,1;86,9;1,8;
2016-06-18;0;15,7;8,1;1,6;80,3;1,2;
2016-06-19;,2;15,8;8,4;1,9;78,7;1,3;
2016-06-20;0;13,1;8,1;2,8;79,1;3,9;
2016-06-21;0;14,9;9,1;4,9;84,2;6,2;
2016-06-22;0;16,4;13,3;6,8;83,3;3,3;
2016-06-23;0;17,6;11,4;6,1;83,3;1,3;
2016-06-24;,2;13,9;10,5;7,3;91,6;3,1;
2016-06-25;0;13,7;11,7;9,2;96;3,5;
2016-06-26;58,2;17,3;14,8;10,6;92,9;4,3;
2016-06-27;7,4;19,7;15,8;13,2;89,5;3,1;
2016-06-28;,6;18,5;15,1;13,2;95,2;1,5;
2016-06-29;0;21,5;16,2;13,4;93,7;2,7;
2016-06-30;0;21,8;16,1;13;88,9;2,7;
2016-07-01;,2;27,3;17,9;11,8;72,6;2,1;
2016-07-02;0;27,2;19,3;12,6;77,2;1,6;
2016-07-03;0;28,5;20,4;14,6;70,8;2,2;
2016-07-04;0;26,1;22,5;17,5;58,5;3;
2016-07-05;0;23,9;20;20;73,3;3,1;
2016-07-06;17,8;13,5;11,7;10,1;86,3;4,6;
2016-07-07;,4;18,2;12,1;8,1;74,9;2,8;
2016-07-08;0;18,8;11,9;5,4;78;1,7;
2016-07-09;17;15,3;12,5;8;89,9;2,6;
2016-07-10;3,8;15,2;12,1;9,9;null;3,2;
2016-07-11;3,2;22,1;15,9;10,8;91,6;3,6;
2016-07-12;1,2;17,4;14,7;12,9;86,9;2,5;
2016-07-13;,2;15,9;10,3;6,5;89,7;3,8;
2016-07-14;0;14,2;12,9;8;94,9;3,5;
2016-07-15;25;14,7;13,6;11,9;84,7;2,3;
2016-07-16;0;12,9;10;8,2;80,6;3,3;
2016-07-17;0;11,5;6,5;2,9;73,1;2,3;
2016-07-18;0;14,2;8,6;4,4;78,3;2,2;
2016-07-19;0;13,6;8,1;3,7;78;2,8;
2016-07-20;0;12,9;6,6;1;81,1;2,7;
2016-07-21;0;13,5;6,6;-,7;84,1;3;
2016-07-22;0;15,2;7,5;2,9;83,5;3,1;
2016-07-23;,2;23,8;12,3;4,1;81,2;2,3;
2016-07-24;0;22,7;16,3;7,6;81,7;2,1;
2016-07-25;0;28,8;17,7;10,7;75;4,6;
2016-07-26;6,2;25;15,4;11,8;81;4,3;
2016-07-27;2,6;13,4;10,3;8,9;75,5;3;
2016-07-28;0;13,9;8,4;3,5;81,8;3,7;
2016-07-29;0;17,2;10,4;5,6;84;5;
2016-07-30;0;19,9;14,6;7,9;82,9;4,3;
2016-07-31;0;29,4;21,1;11,7;66,1;3,2;
2016-08-01;0;24,2;17,8;17,6;73,5;3,3;
2016-08-02;0;15,5;10,6;5,9;83,7;4,8;
2016-08-03;0;17,3;12,5;8,8;87,1;6,3;
2016-08-04;0;25,2;17,5;11,2;84;3;
2016-08-05;0;29,1;20,8;13,8;70;2,2;
2016-08-06;0;24,6;18,2;16,9;81,1;3,9;
2016-08-07;14,4;17,2;12,8;9,8;78,2;1,8;
2016-08-08;,2;18,2;12,3;7,9;75,6;3,4;
2016-08-09;0;19,7;12,4;5,9;76,5;1,2;
2016-08-10;0;17,5;11,9;5,7;77,9;2,2;
2016-08-11;0;18,8;11,4;6,4;78,4;3,1;
2016-08-12;0;20,7;12,3;7,1;76,4;2,5;
