Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-14;null;null;null;null;null;null;
2018-03-15;null;null;null;null;null;null;
2018-03-16;null;25,7;18,6;12,1;63,3;2,3;
2018-03-17;0;27,4;21,3;16,5;73,5;2,1;
2018-03-18;0;33,6;24,7;20,5;72,8;3,3;
2018-03-19;27;24,5;19,6;15,5;69,8;3,5;
2018-03-20;0;22,5;17,6;15,7;77,7;1,8;
2018-03-21;0;22,5;17,6;14;71,9;2,5;
2018-03-22;0;24,9;18;13;68,7;1,8;
2018-03-23;0;29,7;21,9;15,7;68,9;1,9;
2018-03-24;0;25,1;20,4;21;89,9;3,2;
2018-03-25;49,4;21,5;18,3;16,6;86,6;4;
2018-03-26;,2;21,5;15,2;10,5;76,1;4,4;
2018-03-27;0;21,2;18,3;14,4;91;2,7;
2018-03-28;,6;26,7;20,8;17,8;86,1;1,8;
2018-03-29;0;26,3;20,7;17,5;89,8;1,8;
2018-03-30;3,6;27,1;21,8;18,5;83,5;2,4;
2018-03-31;0;21,8;20,4;19,6;92,9;2;
2018-04-01;2,8;24,5;19,9;18,6;92,3;2;
2018-04-02;104,4;22,3;18,6;16,9;93;4,7;
2018-04-03;1,4;25,1;19,5;16,6;87,1;1,4;
2018-04-04;64,2;24,8;19,2;15,9;88;1;
2018-04-05;7,4;24,6;19,6;15,1;81,7;1;
2018-04-06;0;26,3;19,9;15,6;76;1,2;
2018-04-07;0;29,1;21,7;16,6;74,1;1,8;
2018-04-08;0;28,7;23,2;19,7;64,9;1,5;
2018-04-09;0;28,1;22,4;16;74,2;1,8;
2018-04-10;0;28;22,3;19;75,3;2,4;
2018-04-11;0;30;24,1;19,8;70,5;3,2;
2018-04-12;0;31,1;25;20,8;70,1;3,1;
2018-04-13;6,2;22,4;16,8;15,7;87,7;4,9;
2018-04-14;0;19,9;16,8;14,7;73,6;2,7;
2018-04-15;0;24,4;18,5;14,9;78,4;2,4;
2018-04-16;0;24,4;18,7;15,1;78,4;2,6;
2018-04-17;0;25,6;19,3;15,7;68,4;2,7;
2018-04-18;0;28,2;21,3;15,5;68,4;1,8;
2018-04-19;0;29;23,2;18,3;63,7;2;
2018-04-20;0;29,4;24;20,7;62,9;1,9;
2018-04-21;3,8;24,9;18,4;17,2;95,4;2,6;
2018-04-22;18,2;28;21,2;16,9;84,2;1,8;
2018-04-23;0;24,4;21,7;19,1;85,1;2,2;
2018-04-24;,2;23,2;20,7;17,7;90,8;2;
2018-04-25;,2;25,6;21,2;18,6;90,2;1,1;
2018-04-26;,2;26,2;21,4;18,3;86,8;1,5;
2018-04-27;0;25,8;21,4;18,1;84;1,8;
2018-04-28;0;29,6;24;20,3;71,6;,9;
2018-04-29;0;28,8;23,7;20,3;74,8;1,9;
2018-04-30;38;24,6;20,4;18,7;89,3;2,5;
2018-05-01;5,4;19,2;16,6;16;92,8;2,9;
2018-05-02;1,2;19,8;17,4;15,4;89,7;2,6;
2018-05-03;9,8;21,9;18,7;17,1;90,2;2,1;
2018-05-04;0;22,5;18,6;16,6;92,5;1,3;
2018-05-05;1,8;22,3;19,2;17,6;89,5;2,3;
2018-05-06;0;22,9;19,1;17,7;88,4;2,5;
2018-05-07;0;22,4;18,4;16,1;84,8;2,6;
2018-05-08;,2;24,4;18,7;15,3;80,1;2,3;
2018-05-09;0;21,8;18,9;17;82,2;2,8;
2018-05-10;0;22,3;20,3;18,1;80;2,4;
2018-05-11;10;21,7;17,8;15,8;88,2;4,6;
2018-05-12;,4;20,5;15,7;12,7;78,7;2,7;
2018-05-13;0;19,4;14,4;10,1;67;1,8;
2018-05-14;0;22,2;15,9;11,9;74,7;2,7;
2018-05-15;0;19,5;17,2;14,9;84,7;1,3;
2018-05-16;0;17,3;14,1;10,6;68,7;2,6;
2018-05-17;0;17,3;12,5;8,9;73,6;2,4;
2018-05-18;1,8;13,8;12,1;11;91,8;4;
2018-05-19;14,2;12,3;10,5;9,9;95,3;4,6;
2018-05-20;11,6;12,3;10;7,4;90,2;3,6;
2018-05-21;,2;17,2;11;7,6;86,5;2,1;
2018-05-22;0;16,1;11,1;8,2;76,8;2,2;
2018-05-23;0;16,2;10;5,3;66,5;1,9;
2018-05-24;0;16,5;11,3;7,4;63,7;1,3;
2018-05-25;0;18,2;12,1;7,8;71,6;1,2;
2018-05-26;0;20,9;14,6;9,9;80,5;1,8;
2018-05-27;0;24,2;18,3;14,1;75,2;2,9;
2018-05-28;0;25,1;20,1;16,1;73,2;3,1;
2018-05-29;0;23,2;18,2;14,5;70;2,8;
2018-05-30;0;22,8;18;14,5;69,8;3;
2018-05-31;0;19,8;17,5;15,8;77,9;2,3;
2018-06-01;4,4;16,5;15,3;15,5;97,7;2,4;
