Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 485.29
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-03-31;null;null;null;null;null;null;
2016-04-01;null;null;null;null;null;null;
2016-04-02;null;null;null;null;null;null;
2016-04-03;null;null;null;null;null;null;
2016-04-04;null;null;null;null;null;null;
2016-04-05;null;null;null;null;null;null;
2016-04-06;null;null;null;null;null;null;
2016-04-07;null;null;null;null;null;null;
2016-04-08;null;null;null;null;null;null;
2016-04-09;7,4;27,3;21,6;17,3;86,4;,9;
2016-04-10;2,8;25,7;21,8;19,8;90,3;1,1;
2016-04-11;20,6;22,7;20,7;19,6;92,5;,7;
2016-04-12;5,6;25,1;21,1;19,2;88,4;1,1;
2016-04-13;0;28,2;21,4;18,1;87,2;1,3;
2016-04-14;17,2;28,3;21,3;16,3;84,4;1,3;
2016-04-15;,2;32,2;23,3;16,8;76,3;1,1;
2016-04-16;0;33;25,3;19,7;73;1,4;
2016-04-17;0;33,4;25,2;19,7;75,1;1,1;
2016-04-18;0;32,6;23,9;18,6;79,2;,9;
2016-04-19;0;32,1;23,9;17,8;71,5;1,8;
2016-04-20;0;33,2;24,2;17,4;71,1;1,4;
2016-04-21;0;30,9;22,1;18,8;82,1;1,6;
2016-04-22;1,8;21,8;19,7;18,2;90,3;,9;
2016-04-23;2,4;27,2;21,6;18,1;89,1;1,1;
2016-04-24;1,8;30,3;23;18,8;79,3;1,4;
2016-04-25;53,8;22,2;20,3;17,9;87,2;2;
2016-04-26;26,4;20,8;12,4;13,5;92,1;1,5;
2016-04-27;19,6;12,9;8,7;5,7;79,2;1,6;
2016-04-28;0;13,4;7,2;1,8;75,3;1;
2016-04-29;,2;13,9;6,2;2;87;,9;
2016-04-30;0;14,9;7,8;2,8;79,2;1;
2016-05-01;0;20,4;7,8;,9;83,9;,7;
2016-05-02;0;22,5;10,5;3,1;85,5;,8;
2016-05-03;0;20,8;13,7;6;84;,9;
2016-05-04;0;22,3;13,3;9;84;,9;
2016-05-05;0;21,1;12,7;8,5;89,4;,9;
2016-05-06;0;15,7;12,9;10,3;91,8;1,1;
2016-05-07;0;19,2;15;11,4;89,3;1;
2016-05-08;0;24;17,4;14,3;85;,9;
2016-05-09;,6;22,3;17,7;14,6;87,7;,7;
2016-05-10;0;20;17,6;16,6;88,5;,9;
2016-05-11;,4;19,1;16,3;15,1;85,8;1,2;
2016-05-12;0;14,9;12,2;11,5;90,8;1,3;
2016-05-13;0;14,6;11,9;10,2;92,2;1,1;
2016-05-14;0;24,9;15,7;8,2;83,5;,8;
2016-05-15;0;21;17,1;13,2;80,2;2,7;
2016-05-16;23,2;17,6;13,6;12,4;79,2;2,3;
2016-05-17;,2;13,8;8,9;6,1;78;1,3;
2016-05-18;0;13,3;6,1;1,8;86,7;,9;
2016-05-19;0;16,1;6,6;,9;86,3;,8;
2016-05-20;0;15,2;9,3;3,1;95,8;,7;
2016-05-21;5;13,8;12,2;6,8;92,1;1,1;
2016-05-22;2,4;13;11,8;11,3;94,4;,8;
