Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Operante
Data Inicial: 2022-12-07
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-12-07;null;null;null;null;null;null;
2022-12-08;null;null;null;null;null;null;
2022-12-09;null;32,3;24,5;17,4;76,5;2,4;
2022-12-10;0;30,1;24,4;18,3;81,3;2,2;
2022-12-11;0;31,8;26,4;22,7;74,2;2,8;
2022-12-12;0;37,3;24,6;19,9;77;2,9;
2022-12-13;6,8;25,3;21,2;17,6;66,9;3,7;
2022-12-14;0;28,3;21,3;14,1;64,2;2,7;
2022-12-15;0;32,6;23,4;15,4;66;2,2;
2022-12-16;0;25,3;22,5;19,9;67;5;
2022-12-17;0;25,9;20,8;14,4;65,9;3,2;
2022-12-18;0;23,5;21;18,5;73,1;4,5;
2022-12-19;4,8;24,9;20,4;18,1;79,7;4,7;
2022-12-20;,2;27,9;22,9;18,8;72,1;4,4;
2022-12-21;0;28,8;23;18,6;69,5;4,3;
2022-12-22;0;28,9;23,1;19,4;64,4;4,4;
2022-12-23;0;32,1;23,8;18,2;66,2;3,3;
2022-12-24;0;32,6;25;17,1;63,3;2,2;
2022-12-25;0;28,2;23,1;17,3;79;3;
2022-12-26;0;23,6;21,9;21,3;79,5;3,6;
2022-12-27;3,8;27;21,7;15,7;67,5;2,6;
2022-12-28;16,8;25,7;21,2;16,5;79,9;2,9;
2022-12-29;0;27,4;22,4;18,7;64,7;3,1;
2022-12-30;0;31,6;23;15;59,9;2;
2022-12-31;0;35,2;26,4;17,6;61,1;2,3;
2023-01-01;0;36;27,1;18,7;64;2,5;
2023-01-02;0;33,7;27,4;23,4;71,8;1,8;
2023-01-03;0;28,4;24,4;20,9;71;3,8;
2023-01-04;0;31,6;24,4;19;66;2,2;
2023-01-05;0;31,3;24,1;16,6;66;2,9;
2023-01-06;1,6;29,6;24,2;18,7;63,1;4,1;
2023-01-07;0;29,3;23,6;17,4;65;4,1;
2023-01-08;0;28,9;23,5;18,5;68,3;3,9;
2023-01-09;0;30,7;24;18,9;68,8;3,5;
2023-01-10;0;31,1;23,8;18,4;74,8;2,2;
2023-01-11;1,8;35,4;24,9;16,3;67,3;1,9;
2023-01-12;0;35,8;27,3;18,6;57,5;2,5;
2023-01-13;0;32,6;26,2;23,2;71,9;1,9;
2023-01-14;0;28,7;24,8;22,5;74,7;2,8;
2023-01-15;0;26;23,7;22,2;80,9;2,8;
2023-01-16;,2;31;25,6;19,4;74,7;3,3;
2023-01-17;0;30,8;25,5;20;73,5;3,9;
2023-01-18;0;27,4;24,3;22;82;3,9;
2023-01-19;0;29,2;25,3;22,7;80,8;4,3;
2023-01-20;0;32,7;26,5;22,5;72,8;3,8;
2023-01-21;0;35,6;25,8;20,6;76,8;2,1;
2023-01-22;5,4;33;26,4;22,2;74,2;2,1;
2023-01-23;0;34,2;25,7;19,4;70,8;1,7;
2023-01-24;0;33;26,2;19,7;75,4;2,3;
2023-01-25;0;34,1;27,3;21,4;74;3;
2023-01-26;0;36,2;27,5;24,1;74,6;3,7;
2023-01-27;7,8;34;27;21;70,2;1,9;
2023-01-28;,2;35,5;26,6;21,5;74,7;2,1;
2023-01-29;83,6;29,8;25,6;20,6;81;3,3;
2023-01-30;,2;31,7;25,6;20,3;77,7;2,2;
2023-01-31;0;33;26,3;20,5;72,5;2,2;
2023-02-01;0;32,1;26,2;20,9;77,1;2,2;
2023-02-02;0;31,4;26,2;21;78,3;2,9;
2023-02-03;0;28,6;25,2;24,2;85,8;1,8;
2023-02-04;37,6;27,5;23,7;22,5;82;2,4;
2023-02-05;4,8;28,8;22,7;17,8;78,2;2,3;
2023-02-06;,2;31,3;25,5;20,6;69,5;1,7;
2023-02-07;,2;31,4;25,4;18,4;60,2;2,5;
2023-02-08;0;32,5;26,3;19,5;71,8;2,7;
2023-02-09;0;31,3;26,2;22,5;76,6;2,4;
2023-02-10;,2;32,4;26,5;20,4;74,2;2,5;
2023-02-11;0;32;25,8;18,5;72,7;2,2;
2023-02-12;0;32,5;25,6;18,9;73;2,4;
2023-02-13;0;37,7;28,3;20,7;66;2,1;
2023-02-14;0;35,3;27,2;22,8;72,5;2,5;
2023-02-15;50,8;27;23,4;20,9;87,8;1,9;
2023-02-16;17,6;31,6;24,9;19,8;80,7;1,7;
2023-02-17;8,6;26,1;22,7;20,7;76,2;3;
2023-02-18;0;22,4;18;14,1;50,9;2,4;
2023-02-19;0;25,9;18,8;10,6;64;2,9;
2023-02-20;0;25,3;20,3;16,7;84,5;1,9;
2023-02-21;13,6;27;22,3;19,4;83;1,9;
2023-02-22;,2;28,1;22,5;17;79,9;2,4;
2023-02-23;0;29,7;24,3;19,4;76,1;1,9;
2023-02-24;0;25,9;22,9;21,4;86,7;1,5;
2023-02-25;,8;26,6;21,7;19,3;88,5;1,5;
2023-02-26;17,2;30,5;22,9;18,8;79,9;1,1;
2023-02-27;0;29,1;23,7;18,6;82,8;1,8;
2023-02-28;0;30,7;24,3;17,7;75,3;1,8;
2023-03-01;0;31,3;25,3;20,2;75,9;2,2;
2023-03-02;0;31,5;25,4;19,8;79,3;1,3;
2023-03-03;0;28;24,3;21,3;86,4;,9;
2023-03-04;9,2;30,3;24,5;22,1;88,5;1,6;
2023-03-05;22,2;27,6;24,1;22;83,6;4,2;
2023-03-06;3;27,3;24;22,2;86,2;3,5;
2023-03-07;7;29,4;24,6;21,2;87,8;1,7;
2023-03-08;3;32,5;25,4;21,6;83;1,6;
2023-03-09;1,4;31,8;26;21,4;80,2;2;
2023-03-10;0;30,9;26,1;22,1;83,7;2,5;
2023-03-11;0;30,6;25,9;21,5;83,1;2,4;
2023-03-12;0;31,3;26;20,4;80,8;3;
2023-03-13;0;31,6;26,5;21,8;78,7;3;
2023-03-14;0;33,4;26,7;22,1;77,2;2,1;
2023-03-15;0;31,2;26,7;21,8;75,3;2,4;
2023-03-16;0;31,8;26,5;22,2;73;2,5;
2023-03-17;0;32,1;26,4;21,5;76,1;1,8;
2023-03-18;0;32,5;25,6;20,3;79;1,7;
2023-03-19;0;31,9;24,7;17,9;77,5;1,5;
2023-03-20;0;34,5;24,8;21;80,7;1,4;
2023-03-21;40,4;27,8;24,4;20,3;85,5;2,2;
2023-03-22;,2;28,3;24,6;22,5;78,2;3,6;
2023-03-23;0;31,7;25,8;21,7;75,3;2,8;
2023-03-24;0;28,6;24,7;21,9;84,8;2,3;
2023-03-25;,8;27,8;23,9;20,3;84,7;1,5;
2023-03-26;2,4;28,2;24;21,7;75,8;2,9;
2023-03-27;0;25,6;21,9;19,2;70,8;2,5;
2023-03-28;0;30,2;22,8;15,5;67,6;2,1;
2023-03-29;0;34,8;25;18,9;76,3;1,4;
2023-03-30;1,8;27,6;23,2;20,6;83,7;1,4;
2023-03-31;0;31,3;24,1;19,6;83,3;2,2;
2023-04-01;0;24;19,6;14,5;61,3;3,9;
2023-04-02;0;24,5;19,3;14,1;74,6;1,7;
2023-04-03;0;27,3;20,5;12,7;73,8;1,7;
2023-04-04;0;24,7;21;16,2;84,8;2;
2023-04-05;0;26,8;21,7;16,6;77,2;2,2;
2023-04-06;0;24,2;21,5;20,3;68,6;3,2;
2023-04-07;0;24,7;20,3;18,4;82,4;3,3;
2023-04-08;0;25,2;21,3;19;76,3;2,7;
2023-04-09;0;27,6;22,2;16,8;77,6;2;
2023-04-10;0;32,2;23;17,6;78,5;1,3;
2023-04-11;0;33,2;24,2;17,5;74,5;1,2;
2023-04-12;0;32,2;24;19,8;75,5;1,9;
2023-04-13;8;22,3;20;18,5;85,6;3;
2023-04-14;,4;21,5;19,5;17,6;67,7;3,9;
2023-04-15;0;23,6;20,3;15,9;81,1;2,8;
2023-04-16;0;26,4;21,1;17,7;87,5;1,6;
2023-04-17;33,4;21,4;19,7;17,8;88,1;2,8;
2023-04-18;0;24,1;18,7;14,8;80,2;1,2;
2023-04-19;0;19,5;16,1;14;57,9;3,2;
2023-04-20;0;21,3;14,8;10,9;76,2;2,5;
2023-04-21;0;23,3;16,3;10,2;80,8;1,9;
2023-04-22;0;25,6;19,1;12,7;77,8;1,3;
2023-04-23;0;25,2;17,9;11,4;83,6;1,8;
2023-04-24;0;27,6;21,4;14,9;80,1;1,8;
2023-04-25;0;26,6;21,8;17,6;83;1,4;
2023-04-26;8;24,9;19,7;17,3;87,3;1,1;
2023-04-27;,2;24,7;19;15,7;87,2;1,1;
2023-04-28;0;24,2;17,5;12,2;82,2;1,3;
2023-04-29;0;25,8;18,9;10,6;79,4;1,6;
2023-04-30;0;29,2;21,1;13,5;76,2;1,5;
2023-05-01;0;23,4;20,2;16,5;81;2,4;
2023-05-02;7,2;20;18,6;18,6;90,5;3,5;
2023-05-03;25,2;19,7;18,2;16,3;94,3;2,7;
2023-05-04;13,8;22,6;20,6;18,1;95;1,3;
2023-05-05;2,6;21;20,4;19,6;96,5;1;
2023-05-06;83,6;23,8;20,9;19,8;96,1;1,4;
2023-05-07;8,2;24,4;21,5;19,5;95,5;1,7;
2023-05-08;27,6;22,4;19,8;18;89,9;2,5;
2023-05-09;,8;23,2;17,6;14,3;80;1,7;
2023-05-10;0;21,6;15,6;11,1;85;1,3;
2023-05-11;0;19,5;14,6;10,5;80,4;2,4;
2023-05-12;1;20,1;15,1;11,5;84,3;1,4;
2023-05-13;,2;21,7;13,9;8,1;82,4;1,1;
2023-05-14;0;23,4;16,4;11,1;77,7;1,4;
2023-05-15;0;24,9;17,1;11,3;79,8;1,3;
2023-05-16;0;21,5;15,6;10,6;85;1,2;
2023-05-17;0;22,5;15,4;8,8;85,4;1,2;
2023-05-18;,2;25,9;15,9;9;82,8;,9;
2023-05-19;0;23,3;15,4;9,6;85,5;1;
2023-05-20;,2;24,3;17,2;12,5;87,1;1,2;
