Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2005 [YR2005]
Qatar,QAT,Expenditure shares (GDP = 100),ZS,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",110200,0.0550400341564853
Qatar,QAT,Expenditure shares (GDP = 100),ZS,9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING,9260000,..
Qatar,QAT,Expenditure shares (GDP = 100),ZS,170000:BALANCE OF EXPORTS AND IMPORTS,170000,35.0910039793851
Qatar,QAT,Global PPPs,PPPGlob,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",110200,1.97431091326225
Qatar,QAT,Global PPPs,PPPGlob,170000:BALANCE OF EXPORTS AND IMPORTS,170000,..
Qatar,QAT,Population,POP,SP.POP.TOTL.ICP.ZS:Population shares (World=100),SP.POP.TOTL.ICP.ZS,0.0132642132863704
Qatar,QAT,Population,POP,SP.POP.TOTL.ICP:Population,SP.POP.TOTL.ICP,812842
Qatar,QAT,Exchange Rates,EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,3.64
Bangladesh,BGD,Expenditure shares (GDP = 100),ZS,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",110200,1.8384090526691
Bangladesh,BGD,Expenditure shares (GDP = 100),ZS,9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING,9260000,..
Bangladesh,BGD,Expenditure shares (GDP = 100),ZS,170000:BALANCE OF EXPORTS AND IMPORTS,170000,-6.59313722033085
Bangladesh,BGD,Global PPPs,PPPGlob,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",110200,23.5074252246912
Bangladesh,BGD,Global PPPs,PPPGlob,170000:BALANCE OF EXPORTS AND IMPORTS,170000,..
Bangladesh,BGD,Population,POP,SP.POP.TOTL.ICP.ZS:Population shares (World=100),SP.POP.TOTL.ICP.ZS,2.23544849038992
Bangladesh,BGD,Population,POP,SP.POP.TOTL.ICP:Population,SP.POP.TOTL.ICP,136990139
Bangladesh,BGD,Exchange Rates,EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,64.3275
South Africa,ZAF,Expenditure shares (GDP = 100),ZS,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",110200,3.67487366198772
South Africa,ZAF,Expenditure shares (GDP = 100),ZS,9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING,9260000,..
South Africa,ZAF,Expenditure shares (GDP = 100),ZS,170000:BALANCE OF EXPORTS AND IMPORTS,170000,-0.921656027422276
South Africa,ZAF,Global PPPs,PPPGlob,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",110200,4.56313777483356
South Africa,ZAF,Global PPPs,PPPGlob,170000:BALANCE OF EXPORTS AND IMPORTS,170000,..
South Africa,ZAF,Population,POP,SP.POP.TOTL.ICP.ZS:Population shares (World=100),SP.POP.TOTL.ICP.ZS,0.765136503052242
